Patente|Pedimento|SeccionAduanera|NumContenedor|TipoContenedor|FechaPagoReal
1680|5083929|240|UMXU889318|22|2026-01-19 09:16:02|
3129|6000613|240|GC5305|56|2026-01-21 16:01:11|
1680|5001378|270|UMXU882962|63|2026-01-08 18:09:02|
1680|5087442|240|UMXU889925|22|2026-01-23 11:10:08|
1680|5083929|240|UMXU634228|22|2026-01-19 09:16:02|
3129|5026337|240|5516|56|2026-01-14 09:03:03|
1680|5000912|240|UMXU246656|22|2026-01-14 12:06:02|
1680|6011271|240|TTGX975700|63|2026-01-23 18:46:04|
1680|5035184|800|50837|56|2026-01-08 10:55:00|
1680|5083929|240|SNLU143892|22|2026-01-19 09:16:02|
1680|5100844|240|53082|60|2026-01-08 10:48:07|
1680|5000912|240|UMXU237762|22|2026-01-14 12:06:02|
3129|5026337|240|72|56|2026-01-14 09:03:03|
1680|5083929|240|UMXU268653|22|2026-01-19 09:16:02|
1680|5035180|800|8770|56|2026-01-19 16:02:02|
1680|5035180|800|EMHU643850|22|2026-01-19 16:02:02|
1680|5092193|240|710981|56|2026-01-09 14:53:03|
1680|5035180|800|5321924|56|2026-01-19 16:02:02|
1680|5035180|800|UMXU246468|22|2026-01-19 16:02:02|
1680|5083929|240|UMXU235325|22|2026-01-19 09:16:02|
1680|6011261|240|TTGX986709|63|2026-01-22 18:35:10|
3129|5026337|240|TAL130|56|2026-01-14 09:03:03|
1680|5000912|240|UMXU251695|22|2026-01-14 12:06:02|
1680|6024608|240|AX112|56|2026-01-14 18:42:03|
1680|5035180|800|191|56|2026-01-19 16:02:02|
1680|5035180|800|230100|56|2026-01-19 16:02:02|
1680|5035180|800|452|56|2026-01-19 16:02:02|
1680|5000912|240|EMHU203438|22|2026-01-14 12:06:02|
1680|5087442|240|UMXU930026|22|2026-01-23 11:10:08|
1680|5083929|240|UMXU267625|22|2026-01-19 09:16:02|
1680|5083929|240|MNLU234709|22|2026-01-19 09:16:02|
1680|5035180|800|8816|56|2026-01-19 16:02:02|
1680|5035180|800|240676|56|2026-01-19 16:02:02|
1680|5083929|240|UMXU887181|22|2026-01-19 09:16:02|
1680|5000912|240|H53985|56|2026-01-14 12:06:02|
1680|5083929|240|UMXU236545|22|2026-01-19 09:16:02|
1680|5018471|800|950|60|2026-01-08 15:33:12|
3129|5026337|240|11476WLA|56|2026-01-14 09:03:03|
1680|5000912|240|H53251|56|2026-01-14 12:06:02|
1680|6011268|240|TM2521|60|2026-01-23 16:59:09|
1680|5000912|240|H53115|56|2026-01-14 12:06:02|
1680|5000912|240|UMXU932929|22|2026-01-14 12:06:02|
3949|5104840|071|53532|56|2026-01-14 15:39:02|
3949|5104841|071|53819|56|2026-01-09 13:40:01|
1680|5000827|240|100|56|2026-01-27 11:36:02|
1680|5083929|240|UMXU266438|22|2026-01-19 09:16:02|
1680|5083929|240|UMXU889090|22|2026-01-19 09:16:02|
1680|5001378|270|UMXU265662|63|2026-01-08 18:09:02|
1680|5035180|800|362|56|2026-01-19 16:02:02|
1680|5083929|240|UMXU884005|22|2026-01-19 09:16:02|
1680|5087442|240|UMXU252042|22|2026-01-23 11:10:08|
1680|5083929|240|UMXU237352|22|2026-01-19 09:16:02|
1680|5087442|240|MNLU234920|22|2026-01-23 11:10:08|
1680|5035180|800|UMXU248764|22|2026-01-19 16:02:02|
