Patente|Pedimento|SeccionAduanera|NumContenedor|TipoContenedor|FechaPagoReal
1680|5035180|800|536077|56|2026-01-19 16:02:02|
1680|5087442|240|UMXU887371|22|2026-01-23 11:10:08|
1680|5001378|270|UMXU896544|63|2026-01-08 18:09:02|
1680|5035180|800|532201|56|2026-01-19 16:02:02|
1680|5083929|240|UMXU931307|22|2026-01-19 09:16:02|
1680|5087442|240|MNLU234904|22|2026-01-23 11:10:08|
1680|5087442|240|MNLU234792|22|2026-01-23 11:10:08|
1680|5035180|800|UMXU898170|22|2026-01-19 16:02:02|
1680|5083929|240|SNLU144933|22|2026-01-19 09:16:02|
1680|5083929|240|UMXU934245|22|2026-01-19 09:16:02|
1680|5035180|800|25BB7F|68|2026-01-19 16:02:02|
1680|5035180|800|ST01|56|2026-01-19 16:02:02|
3129|6000603|240|8126|56|2026-01-21 12:03:03|
1680|5083929|240|MNLU234928|22|2026-01-19 09:16:02|
1680|5083929|240|MNLU234884|22|2026-01-19 09:16:02|
1680|5083929|240|UMXU897672|22|2026-01-19 09:16:02|
1680|5035180|800|H53261|56|2026-01-19 16:02:02|
3949|5104866|071|5301|56|2026-01-06 15:39:04|
1680|5001378|270|UMXU887793|63|2026-01-08 18:09:02|
1669|5023108|430|UETU6839302|3|2026-01-06 10:08:00|
1680|5083929|240|UMXU896202|22|2026-01-19 09:16:02|
1680|5087442|240|MNLU234731|22|2026-01-23 11:10:08|
1680|5087442|240|MNLU234646|22|2026-01-23 11:10:08|
1669|5023109|430|MRSU5734600|3|2026-01-02 16:46:00|
1680|5083929|240|UMXU236808|22|2026-01-19 09:16:02|
1680|5083929|240|UMXU266076|22|2026-01-19 09:16:02|
1680|5087442|240|UMXU890170|22|2026-01-23 11:10:08|
1680|5001377|270|UMXU936801|63|2026-01-08 18:09:01|
1680|5001378|270|UMXU885678|63|2026-01-08 18:09:02|
1680|5083929|240|MNLU234752|22|2026-01-19 09:16:02|
1680|5087442|240|MNLU234524|22|2026-01-23 11:10:08|
1680|5087442|240|SNLU158002|22|2026-01-23 11:10:08|
1680|5001377|270|UMXU253396|63|2026-01-08 18:09:01|
1680|5087442|240|UMXU892612|22|2026-01-23 11:10:08|
1680|5087442|240|UMXU246625|22|2026-01-23 11:10:08|
1680|5035180|800|UMXU935251|22|2026-01-19 16:02:02|
1680|5083929|240|SNLU996605|22|2026-01-19 09:16:02|
1669|5023109|430|TCLU1593824|3|2026-01-02 16:46:00|
1680|5083929|240|UMXU887407|22|2026-01-19 09:16:02|
1680|5083929|240|UMXU892733|22|2026-01-19 09:16:02|
1680|5035180|800|53324|56|2026-01-19 16:02:02|
3129|5026337|240|12925VL|56|2026-01-14 09:03:03|
3949|5001067|070|UMXU630855|22|2026-01-05 18:07:01|
1680|5000291|230|T-71|60|2026-01-07 13:58:03|
3949|5104818|071|53598|56|2026-01-07 14:41:01|
1680|5087442|240|UMXU245982|22|2026-01-23 11:10:08|
1680|5087442|240|UMXU237987|22|2026-01-23 11:10:08|
1680|5035180|800|532011|56|2026-01-19 16:02:02|
1680|5035179|800|5307|56|2026-01-07 16:01:01|
3949|5005114|160|MRSU7658849|3|2026-01-08 09:55:01|
1680|5001378|270|UMXU637225|63|2026-01-08 18:09:02|
1669|5023108|430|MRSU5231400|3|2026-01-06 10:08:00|
1680|5000912|240|UMXU936391|22|2026-01-14 12:06:02|
1669|5023109|430|CIPU5086030|3|2026-01-02 16:46:00|
3949|5104818|071|53383|56|2026-01-07 14:41:01|
1680|6011273|240|TTGX952768|63|2026-01-27 18:27:08|
1680|5083929|240|UMXU889370|22|2026-01-19 09:16:02|
1680|5083929|240|UMXU267298|22|2026-01-19 09:16:02|
1680|5035180|800|WB8247C.|56|2026-01-19 16:02:02|
1669|5003141|510|MSBU5381258|3|2026-01-07 13:43:01|
3129|6000603|240|T0138|56|2026-01-21 12:03:03|
1680|5087442|240|UMXU236629|22|2026-01-23 11:10:08|
1680|5087442|240|UMXU235294|22|2026-01-23 11:10:08|
3129|6000603|240|1663-2|56|2026-01-21 12:03:03|
1669|5003141|510|MSBU5106960|3|2026-01-07 13:43:01|
1680|5087442|240|UMXU267770|22|2026-01-23 11:10:08|
1680|5001378|270|UMXU259681|63|2026-01-08 18:09:02|
1680|5035180|800|53449|56|2026-01-19 16:02:02|
1680|5083929|240|UMXU890909|22|2026-01-19 09:16:02|
1669|5023108|430|CAIU4927894|3|2026-01-06 10:08:00|
1669|5023109|430|MRSU5844504|3|2026-01-02 16:46:00|
1680|5083929|240|UMXU889348|22|2026-01-19 09:16:02|
1680|5035180|800|53580|56|2026-01-19 16:02:02|
3949|5005338|160|TIIU2264497|1|2026-01-09 08:40:01|
1680|5083929|240|UMXU257741|22|2026-01-19 09:16:02|
1669|5003141|510|MSNU2857517|1|2026-01-07 13:43:01|
3129|5026337|240|5482|56|2026-01-14 09:03:03|
1680|5087442|240|UMXU248297|22|2026-01-23 11:10:08|
1680|6011231|240|TTGX698802|63|2026-01-12 18:09:08|
1680|5001378|270|UMXU633826|63|2026-01-08 18:09:02|
1680|5087442|240|UMXU636545|22|2026-01-23 11:10:08|
1680|5087442|240|UMXU895823|22|2026-01-23 11:10:08|
1680|5036308|240|SD4814|60|2026-01-02 16:20:09|
1680|5035180|800|36BK1G|68|2026-01-19 16:02:02|
3949|5104826|071|53451|56|2026-01-08 15:18:01|
1680|5083929|240|UMXU248425|22|2026-01-19 09:16:02|
1669|5023109|430|UETU5924077|3|2026-01-02 16:46:00|
1680|5083929|240|UMXU887225|22|2026-01-19 09:16:02|
1680|5000912|240|643379|56|2026-01-14 12:06:02|
3949|5001067|070|UMXU635268|22|2026-01-05 18:07:01|
1680|5092175|240|SD1821|60|2026-01-07 10:05:03|
1680|5087442|240|UMXU884778|22|2026-01-23 11:10:08|
3949|5104818|071|531164|56|2026-01-07 14:41:01|
1680|5087442|240|UMXU233197|22|2026-01-23 11:10:08|
1680|5087442|240|UMXU250891|22|2026-01-23 11:10:08|
1680|5087442|240|SNLU210224|22|2026-01-23 11:10:08|
1680|5000388|230|668819|56|2026-01-07 14:56:00|
1680|5083929|240|SNLU152130|22|2026-01-19 09:16:02|
1680|5001378|270|UMXU254817|63|2026-01-08 18:09:02|
1669|5003244|510|HAMU2620670|3|2026-01-07 09:59:01|
1680|5083929|240|MNLU234953|22|2026-01-19 09:16:02|
3949|5104842|071|53352|56|2026-01-13 15:07:01|
1680|5035192|800|1402|56|2026-01-06 16:02:01|
1680|5083929|240|SNLU207143|22|2026-01-19 09:16:02|
1680|5087442|240|UMXU636129|22|2026-01-23 11:10:08|
1680|5083929|240|UMXU268370|22|2026-01-19 09:16:02|
3129|6000603|240|8248-2|56|2026-01-21 12:03:03|
1669|5003141|510|MSMU7302586|3|2026-01-07 13:43:01|
1680|5035180|800|53941|56|2026-01-19 16:02:02|
1680|5087442|240|TCZU653889|22|2026-01-23 11:10:08|
1680|5087442|240|MNLU234643|22|2026-01-23 11:10:08|
1680|5083929|240|UMXU882490|22|2026-01-19 09:16:02|
1680|5035180|800|E82405|56|2026-01-19 16:02:02|
1680|5087442|240|UMXU265694|22|2026-01-23 11:10:08|
1680|5035180|800|1415|56|2026-01-19 16:02:02|
1680|5000912|240|538397|56|2026-01-14 12:06:02|
1680|6024622|240|S243|56|2026-01-19 13:37:03|
1669|5023109|430|MRSU5053870|3|2026-01-02 16:46:00|
1669|5023109|430|TRHU6310260|3|2026-01-02 16:46:00|
1680|5083929|240|UMXU884013|22|2026-01-19 09:16:02|
3949|5104818|071|53670|56|2026-01-07 14:41:01|
3129|5026337|240|251063|56|2026-01-14 09:03:03|
1680|5035180|800|09EM5Y|68|2026-01-19 16:02:02|
1680|5035180|800|E818103|56|2026-01-19 16:02:02|
1680|5083929|240|UMXU265718|22|2026-01-19 09:16:02|
1680|5087442|240|SNLU223242|22|2026-01-23 11:10:08|
1680|5083929|240|UMXU234670|22|2026-01-19 09:16:02|
1680|5001378|270|UMXU257109|63|2026-01-08 18:09:02|
1680|5092148|240|CR623680|63|2026-01-07 10:08:01|
1680|5092175|240|CWSU260516|60|2026-01-07 10:05:03|
1680|5001378|270|UMXU235809|63|2026-01-08 18:09:02|
1680|5035180|800|53701|56|2026-01-19 16:02:02|
1680|5035180|800|1224|56|2026-01-19 16:02:02|
3949|5001068|070|UMXU935560|22|2026-01-05 19:55:00|
3949|5001068|070|UMXU236752|22|2026-01-05 19:55:00|
1680|5035180|800|UMXU936299|22|2026-01-19 16:02:02|
1680|5087442|240|UMXU634296|22|2026-01-23 11:10:08|
1680|5087442|240|UMXU254293|22|2026-01-23 11:10:08|
1680|5087442|240|UMXU898906|22|2026-01-23 11:10:08|
3129|6000613|240|97967MSM|56|2026-01-21 16:01:11|
1680|5083929|240|UMXU253734|22|2026-01-19 09:16:02|
1680|5087442|240|SNLU196322|22|2026-01-23 11:10:08|
1680|5087442|240|MNLU234725|22|2026-01-23 11:10:08|
1680|5083929|240|UMXU246281|22|2026-01-19 09:16:02|
1680|5000291|230|JS98|60|2026-01-07 13:58:03|
1680|5000912|240|531802|56|2026-01-14 12:06:02|
1680|5001378|270|UMXU937811|63|2026-01-08 18:09:02|
1680|5000912|240|53527|56|2026-01-14 12:06:02|
1680|5083929|240|MNLU234687|22|2026-01-19 09:16:02|
1680|5083929|240|UMXU254293|22|2026-01-19 09:16:02|
1680|5087442|240|MNLU234947|22|2026-01-23 11:10:08|
1680|5087442|240|UMXU268620|22|2026-01-23 11:10:08|
1680|5035180|800|5433|56|2026-01-19 16:02:02|
1680|6024625|240|550016|56|2026-01-21 14:02:05|
1680|5083929|240|UMXU260099|22|2026-01-19 09:16:02|
3129|6000613|240|782336|56|2026-01-21 16:01:11|
3949|5104818|071|53777|56|2026-01-07 14:41:01|
1680|5087442|240|SNLU144195|22|2026-01-23 11:10:08|
1680|5000827|240|H14433|56|2026-01-27 11:36:02|
1680|5092175|240|SD1788|60|2026-01-07 10:05:03|
3129|6000613|240|553477|56|2026-01-21 16:01:11|
1680|5087442|240|UMXU258422|22|2026-01-23 11:10:08|
1680|5087442|240|UMXU253184|22|2026-01-23 11:10:08|
1680|5000912|240|534205|56|2026-01-14 12:06:02|
1680|5035180|800|UMXU888205|22|2026-01-19 16:02:02|
1680|5087442|240|MNLU234899|22|2026-01-23 11:10:08|
1680|6011229|240|TTGX990853|63|2026-01-09 19:07:12|
1680|5083929|240|UMXU252415|22|2026-01-19 09:16:02|
1680|5035180|800|180518|56|2026-01-19 16:02:02|
1680|5087442|240|UMXU251727|22|2026-01-23 11:10:08|
3949|5005114|160|TLLU5309787|3|2026-01-08 09:55:01|
1680|5001377|270|UMXU250487|63|2026-01-08 18:09:01|
1680|5000912|240|170049|56|2026-01-14 12:06:02|
1680|5087442|240|UMXU237178|22|2026-01-23 11:10:08|
1680|5087442|240|UMXU235843|22|2026-01-23 11:10:08|
3129|6000603|240|710741|56|2026-01-21 12:03:03|
3129|6000613|240|52268|56|2026-01-21 16:01:11|
1680|5083929|240|SNLU201739|22|2026-01-19 09:16:02|
1680|5087442|240|UMXU238339|22|2026-01-23 11:10:08|
1680|5083929|240|UMXU259810|22|2026-01-19 09:16:02|
1680|5035180|800|064|56|2026-01-19 16:02:02|
1680|5087442|240|MNLU234786|22|2026-01-23 11:10:08|
1680|5092196|240|710981|56|2026-01-09 15:52:02|
1680|5083929|240|SNLU157989|22|2026-01-19 09:16:02|
1669|5003243|510|MTSU9657043|3|2026-01-07 17:18:01|
1680|5083929|240|UMXU633278|22|2026-01-19 09:16:02|
3129|6000603|240|5307|56|2026-01-21 12:03:03|
1680|5083929|240|MNLU234725|22|2026-01-19 09:16:02|
1680|5087442|240|SNLU992994|22|2026-01-23 11:10:08|
1680|5087442|240|UMXU234405|22|2026-01-23 11:10:08|
1680|5087442|240|UMXU232595|22|2026-01-23 11:10:08|
1680|6011270|240|TTGX822827|63|2026-01-23 18:46:04|
3129|6000613|240|2224|56|2026-01-21 16:01:11|
3129|6000603|240|12021|56|2026-01-21 12:03:03|
1680|5083929|240|UMXU635103|22|2026-01-19 09:16:02|
1680|5087442|240|UMXU268572|22|2026-01-23 11:10:08|
1680|5000912|240|53346|56|2026-01-14 12:06:02|
1680|5087442|240|MNLU234720|22|2026-01-23 11:10:08|
1680|5035190|800|52573|56|2026-01-08 15:55:01|
1680|5083929|240|SNLU141466|22|2026-01-19 09:16:02|
1669|5003141|510|TCKU2157350|1|2026-01-07 13:43:01|
1680|5083929|240|UMXU636129|22|2026-01-19 09:16:02|
1680|5087442|240|UMXU256787|22|2026-01-23 11:10:08|
3129|6000613|240|125781|56|2026-01-21 16:01:11|
1680|5083929|240|UMXU247243|22|2026-01-19 09:16:02|
1680|5087442|240|SNLU993167|22|2026-01-23 11:10:08|
1680|5087442|240|SNLU212046|22|2026-01-23 11:10:08|
3129|5026337|240|710990|56|2026-01-14 09:03:03|
3129|6000613|240|10610MSM|56|2026-01-21 16:01:11|
1680|6024615|240|85|56|2026-01-15 19:51:04|
1680|5083929|240|UMXU637114|22|2026-01-19 09:16:02|
1680|5000912|240|532237|56|2026-01-14 12:06:02|
1680|5000912|240|131|56|2026-01-14 12:06:02|
1680|5083929|240|UMXU253443|22|2026-01-19 09:16:02|
1680|5083929|240|UMXU252300|22|2026-01-19 09:16:02|
1680|5087442|240|UMXU634993|22|2026-01-23 11:10:08|
1680|5000912|240|532101|56|2026-01-14 12:06:02|
1680|5000912|240|53301|56|2026-01-14 12:06:02|
1680|5035183|800|53631|56|2026-01-06 15:38:13|
1680|5083929|240|MNLU234796|22|2026-01-19 09:16:02|
1680|5035180|800|532227|56|2026-01-19 16:02:02|
1680|5083929|240|UMXU233022|22|2026-01-19 09:16:02|
1680|5087442|240|SNLU187043|22|2026-01-23 11:10:08|
1680|5083929|240|UMXU267803|22|2026-01-19 09:16:02|
1680|5035180|800|967|56|2026-01-19 16:02:02|
1680|5083929|240|UMXU232595|22|2026-01-19 09:16:02|
1669|6900401|510|UASU1001232|3|2026-01-13 17:15:03|
1669|5003141|510|GESU6246212|3|2026-01-07 13:43:01|
1680|5000912|240|047|56|2026-01-14 12:06:02|
3949|5001068|070|UMXU266252|22|2026-01-05 19:55:00|
1680|5035184|800|52677|56|2026-01-08 10:55:00|
1680|5083929|240|MNLU234947|22|2026-01-19 09:16:02|
1680|5000912|240|531713|56|2026-01-14 12:06:02|
1680|5087442|240|UMXU237262|22|2026-01-23 11:10:08|
3949|5005114|160|TCNU1372923|3|2026-01-08 09:55:01|
1680|5035180|800|538248|56|2026-01-19 16:02:02|
1680|5000912|240|210649|56|2026-01-14 12:06:02|
1680|5087442|240|SNLU138540|22|2026-01-23 11:10:08|
1680|5087442|240|MNLU234946|22|2026-01-23 11:10:08|
1680|5001378|270|UMXU250927|63|2026-01-08 18:09:02|
1669|5003140|510|MSNU8044068|3|2026-01-13 17:37:00|
1680|5087442|240|UMXU255425|22|2026-01-23 11:10:08|
1680|5087442|240|UMXU235967|22|2026-01-23 11:10:08|
1680|5000912|240|525007|56|2026-01-14 12:06:02|
1680|5035180|800|UMXU265940|22|2026-01-19 16:02:02|
3949|5104818|071|53841|56|2026-01-07 14:41:01|
1680|5087442|240|MNLU234640|22|2026-01-23 11:10:08|
1680|5083929|240|MNLU234567|22|2026-01-19 09:16:02|
1680|5083929|240|SNLU137946|22|2026-01-19 09:16:02|
3129|5026337|240|5304|56|2026-01-14 09:03:03|
1680|5083929|240|UMXU258850|22|2026-01-19 09:16:02|
1680|5035180|800|W19885|56|2026-01-19 16:02:02|
1680|5000912|240|349|56|2026-01-14 12:06:02|
1680|5087442|240|MNLU234898|22|2026-01-23 11:10:08|
1680|5087442|240|UMXU251764|22|2026-01-23 11:10:08|
1680|5083929|240|UMXU248413|22|2026-01-19 09:16:02|
1680|5035180|800|TA226975|56|2026-01-19 16:02:02|
1680|5035183|800|531217|56|2026-01-06 15:38:13|
1680|5000866|240|SNLU190308|22|2026-01-27 17:59:02|
1680|5000912|240|251497|56|2026-01-14 12:06:02|
1680|5000912|240|UMXU939510|22|2026-01-14 12:06:02|
1680|5035183|800|853881|56|2026-01-06 15:38:13|
1680|5083929|240|UMXU233013|22|2026-01-19 09:16:02|
3949|5000730|672|08|60|2026-01-02 12:14:00|
1680|5000912|240|191|56|2026-01-14 12:06:02|
1680|5087442|240|UMXU234471|22|2026-01-23 11:10:08|
1680|5087442|240|UMXU253804|22|2026-01-23 11:10:08|
1680|5083929|240|MNLU234913|22|2026-01-19 09:16:02|
1680|5035180|800|592|56|2026-01-19 16:02:02|
1680|5083929|240|TCZU647318|22|2026-01-19 09:16:02|
1680|5083929|240|UMXU259255|22|2026-01-19 09:16:02|
1680|5035180|800|241102|56|2026-01-19 16:02:02|
1680|5083929|240|MNLU234958|22|2026-01-19 09:16:02|
1680|5087442|240|UMXU930055|22|2026-01-23 11:10:08|
1680|5087442|240|UMXU232628|22|2026-01-23 11:10:08|
1669|5003141|510|MSDU8490938|3|2026-01-07 13:43:01|
1680|5083929|240|MNLU234899|22|2026-01-19 09:16:02|
1680|5083929|240|UMXU890420|22|2026-01-19 09:16:02|
3949|5001068|070|UMXU892775|22|2026-01-05 19:55:00|
1680|5083929|240|MNLU234777|22|2026-01-19 09:16:02|
1680|5087442|240|UMXU892564|22|2026-01-23 11:10:08|
1680|5083929|240|UMXU884736|22|2026-01-19 09:16:02|
1680|5087442|240|UMXU931697|22|2026-01-23 11:10:08|
1680|5001378|270|UMXU634487|63|2026-01-08 18:09:02|
1669|5022897|430|TCKU7044887|3|2026-01-08 11:20:00|
1680|5000912|240|950133|56|2026-01-14 12:06:02|
1680|5000912|240|539247|56|2026-01-14 12:06:02|
1680|5000912|240|538569|56|2026-01-14 12:06:02|
1680|5083929|240|SNLU141561|22|2026-01-19 09:16:02|
3129|6000603|240|E23346|56|2026-01-21 12:03:03|
1680|5083929|240|UMXU898607|22|2026-01-19 09:16:02|
1680|5083929|240|MNLU234935|22|2026-01-19 09:16:02|
1680|5083929|240|SNLU141737|22|2026-01-19 09:16:02|
1680|5083929|240|UMXU888713|22|2026-01-19 09:16:02|
1680|5092146|240|WRWK407106|63|2026-01-07 11:28:01|
1680|5083929|240|MNLU234712|22|2026-01-19 09:16:02|
1680|5083929|240|UMXU939386|22|2026-01-19 09:16:02|
1680|5083929|240|UMXU887478|22|2026-01-19 09:16:02|
1680|5087442|240|UMXU253075|22|2026-01-23 11:10:08|
1680|5035180|800|H54147|56|2026-01-19 16:02:02|
1680|5083929|240|UMXU255895|22|2026-01-19 09:16:02|
1680|5083929|240|UMXU258092|22|2026-01-19 09:16:02|
1680|5083929|240|UMXU256679|22|2026-01-19 09:16:02|
1680|5087442|240|UMXU231991|22|2026-01-23 11:10:08|
1680|5035180|800|E82516|56|2026-01-19 16:02:02|
1680|5083929|240|UMXU257744|22|2026-01-19 09:16:02|
3949|5104818|071|53133|56|2026-01-07 14:41:01|
1680|6024611|240|W37235|56|2026-01-14 14:58:06|
3949|5104826|071|53869|56|2026-01-08 15:18:01|
3949|5001068|070|UMXU234489|22|2026-01-05 19:55:00|
1680|5087442|240|MNLU234689|22|2026-01-23 11:10:08|
1680|5083929|240|MNLU234616|22|2026-01-19 09:16:02|
1680|5083929|240|MNLU234889|22|2026-01-19 09:16:02|
1680|5083929|240|MNLU234908|22|2026-01-19 09:16:02|
3949|5005114|160|BEAU5997211|3|2026-01-08 09:55:01|
1680|5001378|270|UMXU887001|63|2026-01-08 18:09:02|
1680|5035180|800|67AK6V|56|2026-01-19 16:02:02|
1680|5000912|240|53618|56|2026-01-14 12:06:02|
1680|5000912|240|535|56|2026-01-14 12:06:02|
1680|5083929|240|UMXU257091|22|2026-01-19 09:16:02|
1680|5035180|800|555|56|2026-01-19 16:02:02|
1680|5087442|240|EMHU203325|22|2026-01-23 11:10:08|
1680|5018472|800|1955|60|2026-01-08 15:33:13|
1680|5035180|800|19AR8A|68|2026-01-19 16:02:02|
3949|5001067|070|UMXU636699|22|2026-01-05 18:07:01|
1680|5087442|240|MNLU234522|22|2026-01-23 11:10:08|
3949|5104855|071|531119|56|2026-01-08 15:44:01|
1680|5083929|240|EMHU641733|22|2026-01-19 09:16:02|
1680|5083929|240|EMHU204904|22|2026-01-19 09:16:02|
1680|5001378|270|UMXU257265|63|2026-01-08 18:09:02|
3949|5001068|070|UMXU882753|22|2026-01-05 19:55:00|
1680|5000291|230|JS10|60|2026-01-07 13:58:03|
1680|5035180|800|401|56|2026-01-19 16:02:02|
1680|5083929|240|UMXU255425|22|2026-01-19 09:16:02|
1680|5000912|240|UMXU930998|22|2026-01-14 12:06:02|
1680|5035180|800|537221|56|2026-01-19 16:02:02|
1680|5083929|240|SNLU187043|22|2026-01-19 09:16:02|
1680|5087442|240|UMXU933258|22|2026-01-23 11:10:08|
1680|5000912|240|532134|56|2026-01-14 12:06:02|
1680|5035180|800|32AY8V|68|2026-01-19 16:02:02|
1680|5083929|240|EMHU654040|22|2026-01-19 09:16:02|
3949|5001068|070|UMXU886549|22|2026-01-05 19:55:00|
1680|5087442|240|EMHU264504|22|2026-01-23 11:10:08|
1680|5083929|240|EMHU264414|22|2026-01-19 09:16:02|
1669|5003141|510|MSDU8552310|3|2026-01-07 13:43:01|
1680|5087442|240|UMXU257744|22|2026-01-23 11:10:08|
1680|5087442|240|EMHU647364|22|2026-01-23 11:10:08|
1680|5083929|240|SNLU210224|22|2026-01-19 09:16:02|
1680|5083929|240|UMXU258422|22|2026-01-19 09:16:02|
1680|5000912|240|UMXU897270|22|2026-01-14 12:06:02|
3949|5005113|160|TRHU2534956|1|2026-01-07 13:36:06|
1680|5035180|800|525007|56|2026-01-19 16:02:02|
1680|5083929|240|SNLU996638|22|2026-01-19 09:16:02|
1680|5087442|240|UMXU251410|22|2026-01-23 11:10:08|
3129|5026337|240|5845|56|2026-01-14 09:03:03|
1669|5003141|510|MSNU5051947|3|2026-01-07 13:43:01|
3949|5104826|071|531196|56|2026-01-08 15:18:01|
1680|5087442|240|UMXU939390|22|2026-01-23 11:10:08|
1680|5087442|240|MNLU234754|22|2026-01-23 11:10:08|
3129|6000613|240|12680WLA|56|2026-01-21 16:01:11|
1680|5035180|800|RH9576B|68|2026-01-19 16:02:02|
3129|5026337|240|15190WLA|56|2026-01-14 09:03:03|
1680|5087442|240|MNLU234571|22|2026-01-23 11:10:08|
1680|5083929|240|TCZU685819|22|2026-01-19 09:16:02|
1669|5022896|430|MSMU6133347|3|2026-01-08 18:10:01|
1680|5000912|240|UMXU889375|22|2026-01-14 12:06:02|
1680|5083929|240|UMXU253796|22|2026-01-19 09:16:02|
3949|5005113|160|GAOU6885040|3|2026-01-07 13:36:06|
3129|6000613|240|512381|56|2026-01-21 16:01:11|
3949|5005113|160|TRHU2929684|1|2026-01-07 13:36:06|
1680|5083929|240|MNLU234954|22|2026-01-19 09:16:02|
1669|5023108|430|TRHU4308412|3|2026-01-06 10:08:00|
1680|5083929|240|EMHU274084|22|2026-01-19 09:16:02|
1680|5083929|240|UMXU234648|22|2026-01-19 09:16:02|
1680|5087442|240|UMXU935310|22|2026-01-23 11:10:08|
3129|6000613|240|10731WLA|56|2026-01-21 16:01:11|
1680|5087442|240|UMXU890124|22|2026-01-23 11:10:08|
1680|5083929|240|UMXU892637|22|2026-01-19 09:16:02|
1680|5087442|240|MNLU234704|22|2026-01-23 11:10:08|
1680|5083929|240|UMXU935904|22|2026-01-19 09:16:02|
1680|5035180|800|853899|56|2026-01-19 16:02:02|
1680|5083929|240|UMXU252866|22|2026-01-19 09:16:02|
1680|5083929|240|UMXU251727|22|2026-01-19 09:16:02|
1680|5083929|240|UMXU259454|22|2026-01-19 09:16:02|
1680|6024642|240|43|56|2026-01-28 12:37:02|
1680|5000912|240|53902|56|2026-01-14 12:06:02|
1680|5001378|270|UMXU634370|63|2026-01-08 18:09:02|
1680|5087442|240|UMXU887253|22|2026-01-23 11:10:08|
1680|5035180|800|UMXU634931|22|2026-01-19 16:02:02|
1680|5087442|240|MNLU234835|22|2026-01-23 11:10:08|
1680|5087442|240|UMXU933619|22|2026-01-23 11:10:08|
1680|5083929|240|UMXU258485|22|2026-01-19 09:16:02|
1680|5083929|240|EMHU272601|22|2026-01-19 09:16:02|
1680|5087442|240|SNLU993317|22|2026-01-23 11:10:08|
3949|5001068|070|UMXU258426|22|2026-01-05 19:55:00|
1680|5000285|230|JS98|60|2026-01-07 15:44:00|
1680|5087442|240|UMXU636196|22|2026-01-23 11:10:08|
1680|5000912|240|UMXU635871|22|2026-01-14 12:06:02|
1680|5000912|240|UMXU266647|22|2026-01-14 12:06:02|
1680|5035180|800|5520|56|2026-01-19 16:02:02|
1680|5083929|240|UMXU938105|22|2026-01-19 09:16:02|
1680|5035183|800|53282|56|2026-01-06 15:38:13|
1680|5083929|240|UMXU895787|22|2026-01-19 09:16:02|
3129|5026337|240|53606|56|2026-01-14 09:03:03|
1680|5083929|240|UMXU256760|22|2026-01-19 09:16:02|
3949|5104818|071|53379|56|2026-01-07 14:41:01|
3949|5104818|071|53787|56|2026-01-07 14:41:01|
1680|5083929|240|UMXU238758|22|2026-01-19 09:16:02|
1680|5087442|240|EMHU654040|22|2026-01-23 11:10:08|
3129|5026337|240|3162412-P|56|2026-01-14 09:03:03|
1680|5092175|240|CWSU260544|60|2026-01-07 10:05:03|
1680|5083929|240|UMXU937789|22|2026-01-19 09:16:02|
1680|5083929|240|UMXU266223|22|2026-01-19 09:16:02|
1680|6024603|240|BC1601|56|2026-01-14 12:48:03|
1680|5000912|240|UMXU254021|22|2026-01-14 12:06:02|
1680|5087442|240|UMXU881677|22|2026-01-23 11:10:08|
1680|5000285|230|TPA08|60|2026-01-07 15:44:00|
1680|5083929|240|UMXU885610|22|2026-01-19 09:16:02|
1680|5083929|240|UMXU898086|22|2026-01-19 09:16:02|
1680|5035183|800|53615|56|2026-01-06 15:38:13|
1680|5035180|800|UMXU889375|22|2026-01-19 16:02:02|
3949|5001068|070|UMXU932402|22|2026-01-05 19:55:00|
1680|5087442|240|MNLU234927|22|2026-01-23 11:10:08|
1680|5000912|240|UMXU933575|22|2026-01-14 12:06:02|
1680|5035183|800|53368|56|2026-01-06 15:38:13|
3949|5104818|071|53756|56|2026-01-07 14:41:01|
1680|5083929|240|UMXU256389|22|2026-01-19 09:16:02|
1680|5000278|230|WRWK407061|63|2026-01-07 13:43:00|
1680|5035180|800|950164|56|2026-01-19 16:02:02|
3949|5104866|071|5306|56|2026-01-06 15:39:04|
3949|5104840|071|53352|56|2026-01-14 15:39:02|
1680|5035180|800|531614|56|2026-01-19 16:02:02|
1680|5000283|230|555354|56|2026-01-07 12:44:01|
3949|5001070|071|53-1139|56|2026-01-05 17:30:07|
1680|5018472|800|1905|60|2026-01-08 15:33:13|
1680|5035180|800|53AL7P|68|2026-01-19 16:02:02|
1680|5083929|240|EMHU203325|22|2026-01-19 09:16:02|
3949|5001068|070|UMXU236389|22|2026-01-05 19:55:00|
3949|5104818|071|53273|56|2026-01-07 14:41:01|
1680|5083929|240|UMXU939435|22|2026-01-19 09:16:02|
1680|5035183|800|53141|56|2026-01-06 15:38:13|
1680|5087442|240|SNLU212399|22|2026-01-23 11:10:08|
1680|5035183|800|853833|56|2026-01-06 15:38:13|
3575|5000112|110|HAMU3920959|3|2026-01-02 18:15:01|
1680|5083929|240|UMXU267510|22|2026-01-19 09:16:02|
1680|6024610|240|53136|56|2026-01-14 17:57:02|
1669|5003140|510|MSNU6068950|3|2026-01-13 17:37:00|
1680|5087442|240|UMXU887204|22|2026-01-23 11:10:08|
1680|5000283|230|5367|56|2026-01-07 12:44:01|
3949|5001070|071|5309|56|2026-01-05 17:30:07|
1680|5083929|240|UMXU930780|22|2026-01-19 09:16:02|
