Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClaveContribucion|FormaPago|ImportePago|FechaPagoReal
3147|6001014|650|85443099|32|3|0|1861|2026-01-20 11:43:01|
3147|6001012|650|39269099|208|3|0|5|2026-01-16 12:14:01|
3949|6020001|670|85371099|2620|3|0|9422|2026-01-13 15:53:00|
3147|6001296|470|90302002|1|3|0|3129|2026-01-21 12:54:01|
1669|6900631|430|85437099|369|3|21|828|2026-01-13 11:45:01|
3949|6000016|670|87089999|11|3|0|10|2026-01-22 11:38:01|
3949|6020001|670|39269099|128|3|0|61|2026-01-13 15:53:00|
1680|5000866|240|87083099|559|3|21|11868|2026-01-27 17:59:02|
1680|5000866|240|87082999|535|3|21|44|2026-01-27 17:59:02|
3949|5060558|071|853669|2|3|21|51785|2026-01-09 16:59:03|
3147|6001014|650|85161002|41|3|0|293|2026-01-20 11:43:01|
3949|6020001|670|84139113|809|6|0|151|2026-01-13 15:53:00|
3147|6001012|650|83012002|442|6|0|74|2026-01-16 12:14:01|
3949|6020001|670|87085099|1913|6|0|68|2026-01-13 15:53:00|
3147|6001012|650|87082999|248|6|0|34|2026-01-16 12:14:01|
3147|6001012|650|39209991|297|6|0|14|2026-01-16 12:14:01|
3147|6001012|650|85051101|385|3|0|47|2026-01-16 12:14:01|
3147|6001012|650|40169304|40|6|0|25|2026-01-16 12:14:01|
3949|6020001|670|84818023|981|3|0|58|2026-01-13 15:53:00|
3147|5005608|850|87082999|55|3|21|4719|2026-01-20 14:03:06|
3949|6020001|670|87082999|1690|6|0|149|2026-01-13 15:53:00|
1680|6024633|240|27101902|1|3|0|147572|2026-01-23 18:49:01|
3147|5005570|850|83023091|19|3|21|37|2026-01-09 23:47:03|
1680|5000866|240|87082923|521|3|21|72|2026-01-27 17:59:02|
1680|5000827|240|87088005|387|3|21|135|2026-01-27 11:36:02|
1669|6900631|430|39263002|9|3|21|10|2026-01-13 11:45:01|
1680|6000840|800|84212199|4|6|0|2459|2026-01-23 14:22:02|
1669|6900631|430|84212301|229|3|21|5080|2026-01-13 11:45:01|
3147|6001012|650|87089999|465|3|0|47|2026-01-16 12:14:01|
1680|5092190|240|40169901|2|6|6|6729|2026-01-09 12:43:04|
1680|6011238|240|87032499|1|3|0|534145|2026-01-15 18:33:15|
3147|6001012|650|87089999|178|3|0|791|2026-01-16 12:14:01|
3147|6001012|650|84195099|375|3|0|95|2026-01-16 12:14:01|
3147|5005608|850|87084099|62|6|6|405|2026-01-20 14:03:06|
3949|6020001|670|85291009|1379|3|0|6|2026-01-13 15:53:00|
3147|6001012|650|85176217|84|3|0|190|2026-01-16 12:14:01|
1669|6900631|430|84818099|265|3|21|700|2026-01-13 11:45:01|
3147|5005609|850|85443099|58|6|6|53|2026-01-20 14:43:15|
1669|6900631|430|85122099|322|3|21|2682|2026-01-13 11:45:01|
3147|6001388|470|85371004|6|3|0|2525|2026-01-26 16:05:02|
1680|5000827|240|85122099|234|6|6|19|2026-01-27 11:36:02|
3949|6020001|670|39269099|104|3|0|38|2026-01-13 15:53:00|
3147|6001397|470|87083011|7|3|0|16|2026-01-23 18:30:02|
1669|6900631|430|84879099|297|3|21|1140|2026-01-13 11:45:01|
3147|6001012|650|85123099|124|3|0|16|2026-01-16 12:14:01|
