Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClaveContribucion|FormaPago|ImportePago|FechaPagoReal
3147|6001012|650|85013103|472|3|0|79|2026-01-16 12:14:01|
3147|5005608|850|87089999|78|3|21|14|2026-01-20 14:03:06|
3147|6001012|650|85371099|258|3|0|32|2026-01-16 12:14:01|
3147|6001012|650|87088012|492|3|0|8|2026-01-16 12:14:01|
3949|6020001|670|90328999|2369|3|0|220|2026-01-13 15:53:00|
3147|6001012|650|87082999|425|3|0|9|2026-01-16 12:14:01|
1669|5003140|510|87082999|239|3|21|1099|2026-01-13 17:37:00|
3949|6020001|670|85365099|1413|3|0|270|2026-01-13 15:53:00|
3147|5005570|850|39263002|13|6|6|53|2026-01-09 23:47:03|
3147|5038653|470|87082999|30|3|21|105|2026-01-29 22:06:01|
3147|5038653|470|83023091|99|6|6|52|2026-01-29 22:06:01|
1669|6900631|430|87082999|461|3|21|21|2026-01-13 11:45:01|
3949|6020001|670|85361004|1385|6|0|56|2026-01-13 15:53:00|
3949|6020001|670|87082999|1741|6|0|2525|2026-01-13 15:53:00|
1680|5031292|800|85366902|2|3|21|71500|2026-01-14 16:47:07|
1680|5031257|800|87088007|2|3|21|72248|2026-01-12 09:46:01|
3147|6001012|650|85443099|127|3|0|395|2026-01-16 12:14:01|
3147|6001012|650|83023091|451|3|0|3|2026-01-16 12:14:01|
3147|6001012|650|85176217|487|3|0|923|2026-01-16 12:14:01|
3376|6001547|240|73269099|26|6|6|6|2026-01-16 10:05:08|
3949|5104841|071|85389005|68|3|21|5799|2026-01-09 13:40:01|
3147|6001012|650|87089305|76|3|0|120|2026-01-16 12:14:01|
1669|6900631|430|87082919|456|3|21|3214|2026-01-13 11:45:01|
3949|6020001|670|85269299|1369|6|0|3569|2026-01-13 15:53:00|
3147|5005570|850|87081099|1|6|6|33|2026-01-09 23:47:03|
3147|5005611|850|85443099|62|3|21|109|2026-01-27 23:24:03|
3147|5038653|470|39269099|91|3|21|28|2026-01-29 22:06:01|
1669|5003140|510|87088005|327|3|21|4417|2026-01-13 17:37:00|
3949|6020001|670|73202005|481|3|0|41|2026-01-13 15:53:00|
1680|6024606|240|27101902|5|6|0|2548|2026-01-14 20:36:01|
3147|5005609|850|90328999|129|3|21|847|2026-01-20 14:43:15|
3949|6020001|670|84829999|1055|3|0|273|2026-01-13 15:53:00|
3376|6001547|240|73269099|14|6|6|6|2026-01-16 10:05:08|
3147|5005608|850|73181606|18|3|21|25|2026-01-20 14:03:06|
3147|5005608|850|87087099|67|3|21|142|2026-01-20 14:03:06|
3147|6001012|650|87082999|432|3|0|21|2026-01-16 12:14:01|
1669|6900631|430|87084099|609|3|21|387|2026-01-13 11:45:01|
3147|6001012|650|87082999|244|3|0|13|2026-01-16 12:14:01|
1669|6900631|430|87082999|488|6|6|479|2026-01-13 11:45:01|
3949|6020001|670|73182403|457|3|0|19|2026-01-13 15:53:00|
1669|6900631|430|87082999|473|3|21|41|2026-01-13 11:45:01|
3147|5005611|850|87082999|77|3|21|890|2026-01-27 23:24:03|
1680|5000866|240|87083099|555|3|21|12458|2026-01-27 17:59:02|
1669|5003140|510|87082923|235|3|21|424|2026-01-13 17:37:00|
3949|6020001|670|73181606|421|3|0|75|2026-01-13 15:53:00|
1669|6900631|430|87082999|512|6|6|397|2026-01-13 11:45:01|
1680|5083929|240|39231003|6|3|21|1313|2026-01-19 09:16:02|
3949|5104841|071|85371099|65|3|21|588332|2026-01-09 13:40:01|
3147|6001012|650|90328999|95|6|0|15|2026-01-16 12:14:01|
3147|5005608|850|87085099|63|3|21|2003|2026-01-20 14:03:06|
3147|6000328|850|85249101|13|3|21|5367|2026-01-21 12:46:09|
3147|6001014|650|85437099|64|3|0|540|2026-01-20 11:43:01|
1669|6900631|430|87083099|577|3|21|211|2026-01-13 11:45:01|
3147|6001012|650|87082999|357|6|0|20|2026-01-16 12:14:01|
3949|6020001|670|87088007|2013|3|0|140|2026-01-13 15:53:00|
3949|6020001|670|87088005|1985|3|0|102|2026-01-13 15:53:00|
3949|6020001|670|73181599|411|3|0|13|2026-01-13 15:53:00|
1680|5000866|240|87089412|651|3|21|832|2026-01-27 17:59:02|
1680|5000866|240|73181599|125|6|6|111|2026-01-27 17:59:02|
3147|5005570|850|87081099|25|6|6|332|2026-01-09 23:47:03|
3949|6020001|670|87087099|1961|3|0|537|2026-01-13 15:53:00|
3949|6020001|670|84145999|845|6|0|9133|2026-01-13 15:53:00|
3376|6001547|240|73269099|30|3|21|6|2026-01-16 10:05:08|
1669|6900631|430|87089999|733|3|21|468|2026-01-13 11:45:01|
3147|6001012|650|94019999|27|3|0|71|2026-01-16 12:14:01|
3949|6000017|670|40093205|2|3|0|17|2026-01-22 11:38:02|
3147|5005608|850|84145999|28|3|21|3228|2026-01-20 14:03:06|
3147|6001012|650|84818099|59|3|0|348|2026-01-16 12:14:01|
3949|6020001|670|85011010|1177|3|0|1305|2026-01-13 15:53:00|
3147|6001012|650|84828091|401|3|0|16|2026-01-16 12:14:01|
1669|6900631|430|90262099|792|3|21|2167|2026-01-13 11:45:01|
3949|6020001|670|87088005|1997|3|0|23|2026-01-13 15:53:00|
1669|5003140|510|84818023|135|3|21|158|2026-01-13 17:37:00|
1680|5000866|240|85011010|346|3|21|281|2026-01-27 17:59:02|
3147|5038653|470|87082999|211|3|21|38|2026-01-29 22:06:01|
3949|6020001|670|34039999|8|6|0|36|2026-01-13 15:53:00|
3949|6020001|670|87088009|2029|6|0|47|2026-01-13 15:53:00|
3949|6020001|670|87089199|2078|6|0|136|2026-01-13 15:53:00|
3147|6001012|650|85443099|249|3|0|356|2026-01-16 12:14:01|
1680|6024606|240|27101902|3|3|0|9189|2026-01-14 20:36:01|
3147|6001012|650|85443099|235|6|0|40|2026-01-16 12:14:01|
3147|5005608|850|85122099|36|3|21|297|2026-01-20 14:03:06|
1680|6002464|800|76069299|1|3|0|2577259|2026-01-21 15:15:03|
3147|6001012|650|87088009|215|3|0|20|2026-01-16 12:14:01|
1680|5031282|800|85443099|1|3|21|345414|2026-01-14 08:30:01|
3147|6001012|650|83021002|437|3|0|19|2026-01-16 12:14:01|
3949|6020001|670|73181599|387|6|0|67|2026-01-13 15:53:00|
3147|5005570|850|85437099|77|3|21|969|2026-01-09 23:47:03|
3949|6020001|670|85291009|1378|3|0|154|2026-01-13 15:53:00|
1680|5000866|240|87082999|523|3|21|4819|2026-01-27 17:59:02|
1680|5000866|240|87084007|567|3|21|684|2026-01-27 17:59:02|
1669|5003140|510|87085099|315|3|21|3499|2026-01-13 17:37:00|
1680|5092191|240|85159099|9|3|21|939|2026-01-09 12:43:03|
3949|6020001|670|87088012|2050|6|0|13|2026-01-13 15:53:00|
3147|6001012|650|85013103|474|6|0|98|2026-01-16 12:14:01|
3949|5104841|071|85437099|72|3|21|41198|2026-01-09 13:40:01|
3147|6001012|650|87082999|359|3|0|34|2026-01-16 12:14:01|
3147|6001325|470|85369099|3|3|0|8|2026-01-21 17:57:01|
3949|6000017|670|84099999|13|3|0|4724|2026-01-22 11:38:02|
3376|6001547|240|73269099|10|6|6|6|2026-01-16 10:05:08|
3949|6020001|670|87082999|1691|3|0|874|2026-01-13 15:53:00|
3147|6001012|650|87082999|349|6|0|7|2026-01-16 12:14:01|
3949|6020001|670|87083004|1754|3|0|343|2026-01-13 15:53:00|
3949|5104841|071|90319099|85|3|21|1026|2026-01-09 13:40:01|
1669|5003140|510|87083010|299|3|21|179|2026-01-13 17:37:00|
1680|5000866|240|87085099|583|3|21|19602|2026-01-27 17:59:02|
1680|5000866|240|87089199|632|3|21|1930|2026-01-27 17:59:02|
1669|5003140|510|87082999|291|6|6|511|2026-01-13 17:37:00|
3949|5104840|071|85369099|166|3|21|38|2026-01-14 15:39:02|
3949|6020001|670|84822099|1032|3|0|263|2026-01-13 15:53:00|
3147|6001012|650|84136099|458|6|0|25|2026-01-16 12:14:01|
1669|6900631|430|84099199|184|3|21|4845|2026-01-13 11:45:01|
1669|6001582|810|73262006|1|6|0|323552|2026-01-17 11:01:00|
3147|6000328|850|73181599|1|3|21|125|2026-01-21 12:46:09|
3949|6000017|670|73261999|4|6|0|1|2026-01-22 11:38:02|
1669|6001581|810|73262006|3|3|0|98587|2026-01-17 10:48:00|
3949|6020001|670|84825091|1050|3|0|28|2026-01-13 15:53:00|
3147|6001012|650|87082917|328|3|0|6|2026-01-16 12:14:01|
3949|5060540|071|854430|10|6|6|2992785|2026-01-09 16:59:03|
3949|6020001|670|87089305|2101|3|0|955|2026-01-13 15:53:00|
3147|5005570|850|73269099|97|3|21|12|2026-01-09 23:47:03|
1680|5000866|240|87089999|676|3|21|40|2026-01-27 17:59:02|
1680|5000866|240|84099199|198|3|21|120|2026-01-27 17:59:02|
1669|6900631|430|87081099|413|3|21|199|2026-01-13 11:45:01|
3949|6020001|670|84212301|872|3|0|3076|2026-01-13 15:53:00|
3949|5104883|071|85366999|2|3|21|44|2026-01-09 10:46:01|
3147|6001012|650|87082999|340|6|0|90|2026-01-16 12:14:01|
1669|6900631|430|73181599|104|3|21|17|2026-01-13 11:45:01|
3147|6001012|650|39269099|350|3|0|9|2026-01-16 12:14:01|
3147|5005608|850|87088005|71|3|21|1760|2026-01-20 14:03:06|
1680|6011271|240|87045199|2|3|0|1032200|2026-01-23 18:46:04|
3147|6001012|650|85249101|498|3|0|2547|2026-01-16 12:14:01|
1669|6900631|430|83012002|148|6|6|387|2026-01-13 11:45:01|
3147|6001014|650|85365099|27|3|0|24|2026-01-20 11:43:01|
3949|6020001|670|87082999|1742|3|0|17663|2026-01-13 15:53:00|
3949|6020001|670|84213199|888|3|0|15908|2026-01-13 15:53:00|
3147|5005570|850|87082999|61|3|21|16|2026-01-09 23:47:03|
1680|5000866|240|85437099|455|3|21|92|2026-01-27 17:59:02|
1680|5000866|240|87082904|499|3|21|344|2026-01-27 17:59:02|
1669|5003140|510|87082999|263|6|6|1917|2026-01-13 17:37:00|
3949|6020001|670|85111003|2576|3|0|945|2026-01-13 15:53:00|
1669|6900631|430|87089999|732|3|21|19|2026-01-13 11:45:01|
3147|6001012|650|84812099|409|3|0|79|2026-01-16 12:14:01|
3949|6020001|670|84821099|1014|3|0|1665|2026-01-13 15:53:00|
3147|6001012|650|39269099|338|3|0|2|2026-01-16 12:14:01|
1680|6024625|240|27101902|2|6|0|3963|2026-01-21 14:02:05|
3949|6000020|670|76020002|2|3|0|60552|2026-01-26 13:42:00|
3147|6001012|650|87088009|214|6|0|118|2026-01-16 12:14:01|
1669|6900631|430|73181606|128|3|21|54|2026-01-13 11:45:01|
3147|6001012|650|87089999|462|3|0|6|2026-01-16 12:14:01|
3949|6020001|670|84818099|1008|3|0|3659|2026-01-13 15:53:00|
3949|6020001|670|87085099|1921|6|0|2389|2026-01-13 15:53:00|
3949|5104842|071|85365099|57|3|21|592|2026-01-13 15:07:01|
1680|5000866|240|87088005|604|3|21|6213|2026-01-27 17:59:02|
3147|5005610|850|90328999|84|6|6|145|2026-01-26 19:51:12|
3949|6020001|670|85362099|1394|6|0|6|2026-01-13 15:53:00|
3949|6020001|670|87087006|1941|6|0|1|2026-01-13 15:53:00|
3949|6020001|670|85111003|1218|3|0|967|2026-01-13 15:53:00|
3147|6001012|650|87082999|433|6|0|41|2026-01-16 12:14:01|
3949|5060539|071|392310|2|6|6|4972|2026-01-09 16:59:04|
1680|6024621|240|27101902|1|3|0|137656|2026-01-19 12:53:03|
3949|6000016|670|84141006|6|3|0|86|2026-01-22 11:38:01|
3147|5005608|850|73269099|22|6|6|93|2026-01-20 14:03:06|
3147|5005609|850|39263002|3|3|21|155|2026-01-20 14:43:15|
3949|6020001|670|84818023|986|3|0|475|2026-01-13 15:53:00|
3147|6001014|650|85365099|67|3|0|20|2026-01-20 11:43:01|
3949|5104841|071|84833004|45|3|21|3470|2026-01-09 13:40:01|
3949|6020001|670|87088005|1977|3|0|8447|2026-01-13 15:53:00|
3949|6020001|670|85371004|1442|6|0|155|2026-01-13 15:53:00|
1680|5000827|240|84831008|180|3|21|266|2026-01-27 11:36:02|
1680|5000866|240|39269099|36|3|21|115|2026-01-27 17:59:02|
3949|6020001|670|87087099|1957|3|0|312|2026-01-13 15:53:00|
3949|6020001|670|87088007|2021|3|0|795|2026-01-13 15:53:00|
1869|6000029|180|72104999|2|3|21|7196915|2026-01-12 13:04:01|
3147|6001014|650|85115091|11|3|0|1650|2026-01-20 11:43:01|
1669|6900631|430|73181599|112|3|21|26|2026-01-13 11:45:01|
3147|5005609|850|90271001|127|3|21|67|2026-01-20 14:43:15|
3147|6001369|470|87082924|2|3|0|36|2026-01-23 12:03:01|
3147|5005608|850|85442099|43|6|6|7|2026-01-20 14:03:06|
1680|6000841|800|84249001|3|3|0|4019|2026-01-16 16:47:01|
3949|6020001|670|39263002|85|6|0|15|2026-01-13 15:53:00|
3147|6001014|650|87082999|19|3|0|10|2026-01-20 11:43:01|
3949|6020001|670|84073304|610|3|0|9953|2026-01-13 15:53:00|
3949|6020001|670|87088011|2041|3|0|130|2026-01-13 15:53:00|
1669|6900631|430|87082901|441|3|21|142|2026-01-13 11:45:01|
3147|5038481|470|73181599|38|3|21|87|2026-01-29 19:09:00|
3147|5038653|470|87085099|8|6|6|3590|2026-01-29 22:06:01|
3949|6020001|670|90328999|2372|6|0|6393|2026-01-13 15:53:00|
3949|6020001|670|87089999|2229|3|0|416|2026-01-13 15:53:00|
3949|5104841|071|84122101|17|3|21|9379|2026-01-09 13:40:01|
1680|6024615|240|27101902|3|6|0|3184|2026-01-15 19:51:04|
3949|6020001|670|73181599|391|6|0|35|2026-01-13 15:53:00|
3147|6001012|650|87084099|42|6|0|74|2026-01-16 12:14:01|
3147|5005609|850|87082999|90|6|6|2636|2026-01-20 14:43:15|
3147|6000328|850|85371099|10|3|21|1574|2026-01-21 12:46:09|
3147|6001012|650|85443099|138|6|0|148|2026-01-16 12:14:01|
3949|6020001|670|83023091|600|6|0|701|2026-01-13 15:53:00|
3147|6001012|650|39235001|406|3|0|28|2026-01-16 12:14:01|
3949|5104841|071|39269099|5|3|21|2453|2026-01-09 13:40:01|
3949|6020001|670|87084099|2676|3|0|5648|2026-01-13 15:53:00|
3949|6020001|670|87085099|1917|6|0|990|2026-01-13 15:53:00|
3147|5038481|470|87082999|4|3|21|525|2026-01-29 19:09:00|
3147|5038481|470|87082902|20|3|21|451|2026-01-29 19:09:00|
3949|6020001|670|85371099|1458|3|0|48|2026-01-13 15:53:00|
3949|6020001|670|87083099|1821|3|0|401|2026-01-13 15:53:00|
3949|5104841|071|85389005|69|3|21|12871|2026-01-09 13:40:01|
3147|6001012|650|85013199|372|6|0|25|2026-01-16 12:14:01|
3147|5005570|850|87081099|1|3|21|58|2026-01-09 23:47:03|
3147|6001012|650|84159002|393|3|0|111|2026-01-16 12:14:01|
3147|5005609|850|83012002|20|3|21|425|2026-01-20 14:43:15|
3147|6001397|470|87083011|6|6|0|2|2026-01-23 18:30:02|
3147|6001012|650|85044099|317|3|0|105|2026-01-16 12:14:01|
1669|6900631|430|70091099|91|3|21|215|2026-01-13 11:45:01|
3147|6001012|650|84213999|404|3|0|83|2026-01-16 12:14:01|
3949|6020001|670|83023091|582|3|0|338|2026-01-13 15:53:00|
3949|6020001|670|84818021|960|6|0|36|2026-01-13 15:53:00|
3949|6020001|670|85437099|2625|3|0|1759|2026-01-13 15:53:00|
1680|5000866|240|40103101|59|3|21|1491|2026-01-27 17:59:02|
3147|5038653|470|73269099|133|3|21|45|2026-01-29 22:06:01|
3949|6020001|670|85129007|1314|3|0|113|2026-01-13 15:53:00|
3949|6020001|670|90251901|2265|3|0|314|2026-01-13 15:53:00|
1669|6900631|430|87088009|676|6|6|175|2026-01-13 11:45:01|
3147|5005608|850|85443099|44|3|21|756|2026-01-20 14:03:06|
3949|6020001|670|87085099|1925|6|0|72|2026-01-13 15:53:00|
1680|6011242|240|87032499|2|3|0|284111|2026-01-16 18:26:14|
3147|5005608|850|85443099|46|6|6|137|2026-01-20 14:03:06|
3147|6001325|470|49019991|6|3|9|301|2026-01-21 17:57:01|
3147|6001012|650|87082999|122|6|0|7|2026-01-16 12:14:01|
1669|6900631|430|90271001|794|3|21|1042|2026-01-13 11:45:01|
3147|5005611|850|84099199|25|3|21|2114|2026-01-27 23:24:03|
3147|5005666|850|39199099|5|3|21|150|2026-01-09 17:06:08|
1680|5031287|800|87089199|1|6|6|399622|2026-01-09 15:43:02|
3949|6020001|670|39269013|93|6|0|24|2026-01-13 15:53:00|
1680|5000866|240|73181606|127|6|6|1364|2026-01-27 17:59:02|
1680|5000866|240|73182291|135|6|6|103|2026-01-27 17:59:02|
1669|6900631|430|87082999|531|3|21|342|2026-01-13 11:45:01|
3949|5104841|071|84828091|43|3|21|2340|2026-01-09 13:40:01|
1669|6900631|430|87087099|644|3|21|6585|2026-01-13 11:45:01|
3147|5005611|850|39269020|4|6|6|303|2026-01-27 23:24:03|
1669|6900631|430|87082999|541|6|6|83|2026-01-13 11:45:01|
3147|6001012|650|90329002|279|3|0|9|2026-01-16 12:14:01|
3147|6001014|650|85437099|61|3|0|1257|2026-01-20 11:43:01|
3147|5005608|850|83023091|25|3|21|42|2026-01-20 14:03:06|
3147|6001012|650|87082999|331|3|0|9|2026-01-16 12:14:01|
1669|6900631|430|87089999|770|3|21|183|2026-01-13 11:45:01|
1680|5000827|240|87085099|380|3|21|10662|2026-01-27 11:36:02|
3949|6020001|670|85013199|1202|3|0|3703|2026-01-13 15:53:00|
3949|6020001|670|85122099|1284|6|0|776|2026-01-13 15:53:00|
3949|6020001|670|87089904|2182|6|0|154|2026-01-13 15:53:00|
1680|5000866|240|83023091|175|6|6|4294|2026-01-27 17:59:02|
3147|5038653|470|87081099|141|6|6|64|2026-01-29 22:06:01|
3949|6020001|670|84213999|901|6|0|102|2026-01-13 15:53:00|
3949|6020001|670|85122002|1272|3|0|54|2026-01-13 15:53:00|
1669|6900631|430|85365099|350|3|21|16|2026-01-13 11:45:01|
3147|5005611|850|87082999|76|6|6|14|2026-01-27 23:24:03|
1669|6900631|430|87089199|685|6|6|495|2026-01-13 11:45:01|
3147|6001012|650|85444299|483|6|0|30|2026-01-16 12:14:01|
1680|6024631|240|27101902|1|3|0|150132|2026-01-23 18:47:02|
3147|5005608|850|85129007|37|3|21|92|2026-01-20 14:03:06|
3147|5005609|850|87089199|111|6|6|22|2026-01-20 14:43:15|
3949|6020001|670|70091099|358|3|0|26|2026-01-13 15:53:00|
3147|5005611|850|85269299|44|6|6|181|2026-01-27 23:24:03|
1669|6900631|430|85122002|314|3|21|1585|2026-01-13 11:45:01|
3949|6020001|670|85366902|1424|3|0|46|2026-01-13 15:53:00|
3949|6020001|670|40103301|193|3|0|17|2026-01-13 15:53:00|
1680|5000827|240|83023091|107|3|21|381|2026-01-27 11:36:02|
1680|5000866|240|84133099|231|3|21|5054|2026-01-27 17:59:02|
3949|6020001|670|40161001|213|3|0|331|2026-01-13 15:53:00|
1669|5003140|510|87081099|202|6|6|58|2026-01-13 17:37:00|
1669|6900631|430|84213199|238|3|21|3527|2026-01-13 11:45:01|
3147|5005611|850|73181606|20|3|21|43|2026-01-27 23:24:03|
1669|6900631|430|87089999|742|3|21|832|2026-01-13 11:45:01|
3147|5005609|850|87089412|118|3|21|19|2026-01-20 14:43:15|
3949|6000017|670|84099999|14|3|0|169|2026-01-22 11:38:02|
3147|5005608|850|87089305|73|3|21|848|2026-01-20 14:03:06|
3147|6001012|650|84818025|102|3|0|63|2026-01-16 12:14:01|
3949|6020001|670|70091099|357|6|0|61|2026-01-13 15:53:00|
3147|5005611|850|40169304|8|3|21|10|2026-01-27 23:24:03|
1669|6900631|430|87082999|498|6|6|559|2026-01-13 11:45:01|
1669|5003140|510|87082999|254|6|6|1260|2026-01-13 17:37:00|
3949|6020001|670|73269099|519|6|0|27|2026-01-13 15:53:00|
1680|5000866|240|73269099|153|3|21|545|2026-01-27 17:59:02|
3147|5038653|470|49089099|46|6|6|510|2026-01-29 22:06:01|
3949|6020001|670|84212301|873|6|0|67|2026-01-13 15:53:00|
1669|5003140|510|87082999|258|3|21|95|2026-01-13 17:37:00|
3949|6020001|670|84099199|676|3|0|435|2026-01-13 15:53:00|
1680|5000866|240|85182999|403|3|21|93|2026-01-27 17:59:02|
3949|5104841|071|85389099|70|3|21|153|2026-01-09 13:40:01|
3147|6001012|650|39269099|6|3|0|7|2026-01-16 12:14:01|
3147|5005608|850|85443099|45|6|6|64|2026-01-20 14:03:06|
3949|6000017|670|39269099|1|3|0|20|2026-01-22 11:38:02|
3147|6001012|650|84213199|411|6|0|2|2026-01-16 12:14:01|
3949|6020001|670|84212301|873|3|0|227|2026-01-13 15:53:00|
1680|5000866|240|84841001|335|6|6|7|2026-01-27 17:59:02|
3949|6020001|670|85443099|1550|3|0|541|2026-01-13 15:53:00|
1669|5003140|510|87082999|282|3|21|857|2026-01-13 17:37:00|
3949|6020001|670|83012002|547|6|0|36|2026-01-13 15:53:00|
3147|5038781|470|40093205|20|3|21|68|2026-01-29 22:00:01|
1680|5000866|240|87088007|615|3|21|730|2026-01-27 17:59:02|
1680|6002885|240|84713001|7|3|21|83040|2026-01-14 17:45:08|
1669|5003140|510|87084099|314|6|6|387|2026-01-13 17:37:00|
3949|6020001|670|84824001|1046|3|0|73|2026-01-13 15:53:00|
1680|5000866|240|90251901|696|3|21|1491|2026-01-27 17:59:02|
1680|5031285|800|40112006|1|6|6|3256846|2026-01-13 10:45:03|
3147|6001012|650|84099199|398|3|0|63|2026-01-16 12:14:01|
3147|5005609|850|90328999|128|3|21|284|2026-01-20 14:43:15|
3147|5005608|850|87083004|57|3|21|51|2026-01-20 14:03:06|
3147|6001012|650|87082999|427|6|0|14|2026-01-16 12:14:01|
3147|5005570|850|39263002|13|3|21|65|2026-01-09 23:47:03|
1680|5000866|240|87089904|668|6|6|323|2026-01-27 17:59:02|
3949|6020001|670|84818023|980|3|0|423|2026-01-13 15:53:00|
1669|5003140|510|40103101|46|3|21|1799|2026-01-13 17:37:00|
3949|6020001|670|85364199|1402|3|0|19|2026-01-13 15:53:00|
1680|5000866|240|87089199|635|6|6|143|2026-01-27 17:59:02|
1680|5000827|240|40169999|64|3|21|818|2026-01-27 11:36:02|
3949|6020001|670|85258999|2601|3|0|424|2026-01-13 15:53:00|
1669|5003140|510|83012002|90|6|6|352|2026-01-13 17:37:00|
3949|6020001|670|84099199|632|3|0|291|2026-01-13 15:53:00|
1680|5000866|240|85365099|430|3|21|205|2026-01-27 17:59:02|
3949|6020001|670|73181599|386|6|0|232|2026-01-13 15:53:00|
3147|5005609|850|85443099|59|6|6|68|2026-01-20 14:43:15|
3147|5005608|850|39263002|3|6|6|113|2026-01-20 14:03:06|
3147|5005608|850|87082923|52|3|21|47|2026-01-20 14:03:06|
3147|6001012|650|87082999|265|6|0|34|2026-01-16 12:14:01|
3949|5060540|071|854442|11|3|21|51552|2026-01-09 16:59:03|
1680|5000866|240|87089102|628|3|21|303|2026-01-27 17:59:02|
3949|6020001|670|84831008|1069|3|0|1835|2026-01-13 15:53:00|
1680|5092190|240|84661099|7|3|21|57735|2026-01-09 12:43:04|
3949|6020001|670|87089305|2098|3|0|407|2026-01-13 15:53:00|
1680|5000866|240|90303391|715|3|21|406|2026-01-27 17:59:02|
1680|5000866|240|73202005|141|3|21|716|2026-01-27 17:59:02|
1669|6900631|430|87085099|635|3|21|2605|2026-01-13 11:45:01|
1669|5003140|510|83023091|102|3|21|42|2026-01-13 17:37:00|
3949|6020001|670|39199099|31|6|0|404|2026-01-13 15:53:00|
3147|5005611|850|85443099|56|6|6|71|2026-01-27 23:24:03|
3949|6020001|670|73181599|398|3|0|72|2026-01-13 15:53:00|
3147|6001012|650|85443099|241|3|0|67|2026-01-16 12:14:01|
3147|5005609|850|84213201|34|3|21|6722|2026-01-20 14:43:15|
1680|6000840|800|82041101|3|3|0|4751|2026-01-23 14:22:02|
3147|6001012|650|87087006|221|3|0|93|2026-01-16 12:14:01|
3949|6020001|670|73181599|418|3|0|71|2026-01-13 15:53:00|
1680|5000866|240|85123001|383|3|21|285|2026-01-27 17:59:02|
3949|5060539|071|854430|10|3|21|9077575|2026-01-09 16:59:04|
1669|5003140|510|84835003|146|3|21|23|2026-01-13 17:37:00|
3949|6020001|670|40169304|260|3|0|141|2026-01-13 15:53:00|
1680|5000866|240|84139113|244|6|6|272|2026-01-27 17:59:02|
1680|5000866|240|85123099|384|3|21|110|2026-01-27 17:59:02|
3949|6020001|670|85369099|1438|3|0|184|2026-01-13 15:53:00|
1669|5003140|510|87082999|242|3|21|225|2026-01-13 17:37:00|
3949|6020001|670|84818022|974|3|0|109|2026-01-13 15:53:00|
1680|5000866|240|34039999|7|6|6|673|2026-01-27 17:59:02|
3949|6020001|670|73181999|442|3|0|14|2026-01-13 15:53:00|
3147|6001012|650|87082999|435|3|0|43|2026-01-16 12:14:01|
3949|6000017|670|73269099|5|3|0|3|2026-01-22 11:38:02|
3147|5005608|850|94019999|84|3|21|229|2026-01-20 14:03:06|
3147|5005609|850|85059091|39|3|21|63|2026-01-20 14:43:15|
1669|6900631|430|87088004|649|3|21|82|2026-01-13 11:45:01|
1680|5000866|240|85291009|415|3|21|649|2026-01-27 17:59:02|
3949|6020001|670|39263002|73|3|0|26|2026-01-13 15:53:00|
1669|5003140|510|87083009|298|3|21|435|2026-01-13 17:37:00|
3949|6020001|670|56081999|320|6|0|86|2026-01-13 15:53:00|
3147|5038653|470|87088007|28|6|6|513|2026-01-29 22:06:01|
3147|5038653|470|84213199|62|3|21|193|2026-01-29 22:06:01|
3949|6020001|670|70071199|332|6|0|604|2026-01-13 15:53:00|
3949|6020001|670|85291009|1372|3|0|321|2026-01-13 15:53:00|
3949|6020001|670|39235001|49|3|0|7|2026-01-13 15:53:00|
1680|5000866|240|87084099|568|3|21|720|2026-01-27 17:59:02|
3949|6020001|670|73182403|458|6|0|61|2026-01-13 15:53:00|
3147|6001012|650|90329002|278|3|0|9|2026-01-16 12:14:01|
1680|6024629|240|27101902|1|3|0|144148|2026-01-21 14:04:04|
1680|6011261|240|87032499|1|3|0|1062353|2026-01-22 18:35:10|
1680|6000841|800|85444299|12|3|0|1025|2026-01-16 16:47:01|
1669|6900631|430|87089412|718|3|21|352|2026-01-13 11:45:01|
3147|5038653|470|85442099|78|3|21|11|2026-01-29 22:06:01|
3949|6020001|670|83023091|598|6|0|4|2026-01-13 15:53:00|
3949|6020001|670|85129007|1336|3|0|9|2026-01-13 15:53:00|
3949|5104883|071|87082999|1|3|21|9143|2026-01-09 10:46:01|
1680|6002499|800|72043001|1|3|0|9232|2026-01-27 14:44:00|
1680|5000866|240|85369099|436|3|21|1969|2026-01-27 17:59:02|
3949|6020001|670|40169304|227|3|0|586|2026-01-13 15:53:00|
3949|5104840|071|85366902|165|3|21|1336|2026-01-14 15:39:02|
3949|6020001|670|83017002|562|3|0|390|2026-01-13 15:53:00|
1680|5000827|240|87089412|428|3|21|5616|2026-01-27 11:36:02|
3949|6020001|670|39263002|55|3|0|222|2026-01-13 15:53:00|
3147|6001012|650|87089999|205|3|0|16|2026-01-16 12:14:01|
3147|6001397|470|84099199|2|3|0|90|2026-01-23 18:30:02|
3147|6001369|470|85044099|1|3|0|1070|2026-01-23 12:03:01|
3147|6001012|650|87082999|246|3|0|13|2026-01-16 12:14:01|
3949|6020001|670|73182291|2454|3|0|8|2026-01-13 15:53:00|
1680|5000866|240|85443099|471|6|6|15634|2026-01-27 17:59:02|
3949|6020001|670|73079999|374|3|0|352|2026-01-13 15:53:00|
3949|6020001|670|85122099|1296|6|0|13629|2026-01-13 15:53:00|
1669|6900631|430|87088005|654|3|21|9164|2026-01-13 11:45:01|
