Patente|Pedimento|SeccionAduanera|RfcTransportista|CurpTransportista|NombreTransportista|PaisTransporte|IdentificadorTransporte|FechaPagoReal
1680|6011254|240|||FURGON|MEX|TTGX704271|2026-01-20 18:30:09|
3147|6000341|521|||FEDEX|USA|FEDEX|2026-01-15 10:30:01|
1669|6900410|430|||GRANDE MAROCCO|ITA|0046/2026|2026-01-08 11:51:01|
1680|6011222|240|||FURGON|MEX|CNA712472|2026-01-09 19:07:05|
1669|5003141|510|||ONE SINCERITY|SGP|ONESINCERITY|2026-01-07 13:43:01|
3575|5000112|110|||YOKOHAMAEXPRESS|HKG|YOKOHAMAEXPRESS|2026-01-02 18:15:01|
1680|6011252|240|||FURGON|MEX|TTGX980358|2026-01-20 18:30:08|
1680|6011248|240|||FURGON|MEX|TTGX708555|2026-01-17 12:44:03|
3147|5023951|650|||FEDEX|USA|FEDEX|2026-01-08 10:28:01|
1680|6011275|240|||NODRIZA|MEX|TM2405|2026-01-28 18:10:03|
1669|6007883|430|||HOEGH ASIA|NOR|0087/2026|2026-01-19 14:05:01|
1669|6900370|510|||GLOVIS STAR|BHS|GLOVISSTAR|2026-01-03 09:35:00|
1680|6011244|240|||FURGON|MEX|WRWK300112|2026-01-16 18:26:15|
1680|6024601|240|||CAJA|MEX|AX109|2026-01-13 14:57:04|
1680|6024611|240|||CAJA|MEX|W37235|2026-01-14 14:58:06|
1680|6011233|240|||FURGON|MEX|TTGX160053|2026-01-14 18:07:07|
1680|6011238|240|||FURGON|MEX|TTGX978351|2026-01-15 18:33:15|
1680|6011270|240|||FURGON|MEX|TTGX822827|2026-01-23 18:46:04|
1680|6024635|240|||CAJA|MEX|144|2026-01-26 13:49:06|
1680|6011273|240|||FURGON|MEX|TTGX952768|2026-01-27 18:27:08|
1680|6011284|240|||FURGON|MEX|TTGX995876|2026-01-31 14:41:02|
1680|6011236|240|||FURGON|MEX|WRWK300048|2026-01-15 18:33:10|
1680|6011245|240|||NODRIZA|MEX|TM2125|2026-01-16 17:19:04|
1680|6011230|240|||FURGON|MEX|CTTX690214|2026-01-12 18:09:08|
1680|6011287|240|||FURGON|MEX|TTGX942352|2026-01-31 14:44:01|
