Patente|Pedimento|SeccionAduanera|FechaFacturacion|NumeroFactura|TerminoFacturacion|MonedaFacturacion|ValorDolares|ValorMonedaExtranjera|PaisFacturacion|EntidadFedFacturacion|IndentFiscalProveedor|ProveedorMercancia|CalleProveedor|NumInteriorProveedor|NumExteriorProveedor|CpProveedor|MunicipioProveedor|FechaPagoReal
1680|6002469|800||COVE2578Z4T78|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-20 15:49:02|
1680|6002485|800||COVE257K2VX02|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-16 15:26:02|
1680|6002477|800||COVE257NDM403|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-16 15:01:02|
1680|5005482|230|2025-12-04|COVE257UXDZC6|FOB|USD|123302.69|123302.69|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:03|
1680|5005484|230|2025-12-10|COVE257V8QZO3|FOB|USD|216657.19|216657.19|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:00|
1680|5005482|230|2025-12-15|COVE257VHVCM6|FOB|USD|192037.62|192037.62|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:03|
1680|5005482|230|2025-12-14|COVE257VH2PD2|FOB|USD|193138.04|193138.04|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:03|
3949|5060523|071|2025-12-18|COVE257VP1PF3|FOB|USD|1.00|1.00|MEX| |380549190|FORD KENTUCKY TRUCK PLANT 2|3001 CHAMBERLAIN LANE||S/N|402411985|LOUISVILLE|2026-01-08 12:49:05|
3949|5060546|071|2025-12-03|COVE257UVYCF5|FCA|USD|1.00|1.00|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-08 18:03:01|
3147|6001294|470||COVE267X2OY33|FCA| ||| | |91310000566589424|KOSTAL (SHANGHAI) MANAGEMENT CO LTD||||||2026-01-22 12:41:01|
3147|6001388|470||COVE267XFDIY7|FCA| ||| | |RO16297090|HELLA ROMANIA S R L||||||2026-01-26 16:05:02|
3147|6001012|650||COVE257T97HN6|FCA| ||| | |380549190|FORD MOTOR COMPANY||||||2026-01-16 12:14:01|
1680|5005483|230|2025-12-20|COVE257VUBU76|FOB|USD|249470.13|249470.13|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
1680|6002475|800||COVE257TN7E87|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-21 15:15:07|
1680|6000844|800||COVE257VG7DV4|DAP| ||| | |873972693|CLIFFS STEEL INC.||||||2026-01-21 15:46:01|
1680|5005483|230|2025-12-02|COVE257URR1J7|FOB|USD|208337.10|208337.10|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
1680|6000844|800||COVE257VHI3X7|DAP| ||| | |873972693|CLIFFS STEEL INC.||||||2026-01-21 15:46:01|
1680|6000844|800||COVE257VND3B6|DAP| ||| | |873972693|CLIFFS STEEL INC.||||||2026-01-21 15:46:01|
3147|6001369|470||COVE267X7XSA4|FCA| ||| | |91360000705508234|JIANGXI JIANGLING MOTORS IMPORT AND EXPORT CO., LTD.||||||2026-01-23 12:03:01|
1680|5005525|230|2025-12-20|COVE257VUY275|FCA|USD|158159.22|158159.22|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-08 13:06:00|
3949|5060528|071|2025-12-04|COVE257UX0Q02|FOB|USD|236034.96|236034.96|MEX| |38-0549190|FORD LOUISVILLE ASSEMBLY|2000 FERN VALLEY RD||S/N|402133502|LOUISVILLE|2026-01-06 11:22:01|
1680|5005483|230|2025-12-11|COVE257VBJQ65|FOB|USD|206839.90|206839.90|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
1680|5070748|240|2025-12-23|COVE257VY4OU8|FCA|USD|224608.84|224608.84|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-07 15:02:01|
1680|5005482|230|2025-12-01|COVE257UPCI42|FOB|USD|166489.46|166489.46|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:03|
1680|5005525|230|2025-12-18|COVE257VR9LP8|FCA|USD|64437.87|64437.87|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-08 13:06:00|
1680|6000849|800||COVE257VM5QO3|DAP| ||| | |13-5459780|UNITED STATES STEEL INTERNATIONAL, INC||||||2026-01-16 17:01:00|
1680|6002488|800||COVE257TVLVT4|EXW| ||| | |38-3349570|GLOBAL PARTS AND MAINTENANCE LLC||||||2026-01-21 15:34:01|
3147|6001405|470||COVE267XFRPU7|FCA| ||| | |91330201567003931|NINGBO PREH JOYSON AUTOMOTIVE ELECTRONICS CO LTD||||||2026-01-27 13:43:02|
3949|5060533|071|2025-12-02|COVE257UREW78|FOB|USD|1.00|1.00|MEX| |04-3590499|IFA ROTORION NORTH AMERICA LLC|479 TRADE CENTER PARKWAY||S/N|294837432|SUMMERVILLE|2026-01-08 14:45:01|
1680|6002473|800||COVE257SOVDE3|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-21 15:15:06|
1680|6002481|800||COVE257FMSNW4|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-16 09:43:02|
1680|5005476|230|2025-12-09|COVE257V5X2J5|FCA|USD|243468.79|243468.79|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-05 19:05:01|
1680|6002481|800||COVE257FKTK91|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-16 09:43:02|
1680|6002468|800||COVE2476R2RL1|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-21 15:15:04|
1680|6002471|800||COVE257QGAYB2|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-21 15:15:05|
1680|5005483|230|2025-12-21|COVE257VV0SP5|FOB|USD|215827.66|215827.66|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
1680|5005482|230|2025-12-18|COVE257VPXX34|FOB|USD|129012.20|129012.20|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:03|
1680|5005476|230|2025-12-09|COVE257V5WZH6|FCA|USD|356961.69|356961.69|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-05 19:05:01|
1680|5005483|230|2025-12-02|COVE257URR2D1|FOB|USD|252628.68|252628.68|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
1680|5005525|230|2025-12-17|COVE257VOIP45|FCA|USD|57031.27|57031.27|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-08 13:06:00|
3949|5060533|071|2025-12-04|COVE257UXGF98|FOB|USD|3.00|3.00|MEX| |61-1697358|HANON SYSTEMS EL PASO DISTRIBUTION|1340 BOB HOPE DRIVE||S/N|799360405|EL PASO|2026-01-08 14:45:01|
1680|6011260|240||COVE267XAL924|DAP| ||| | |380549190|FORD MOTOR COMPANY||||||2026-01-22 18:35:09|
3147|6001012|650||COVE267WO7R32|EXW| ||| | |549300V3HSOF4EBSC|FENG MR||||||2026-01-16 12:14:01|
1680|6011255|240||COVE267X5LDA1|DAP| ||| | |380549190|FORD MOTOR COMPANY||||||2026-01-20 18:30:10|
3949|5060535|070|2025-12-08|COVE257V57WZ2|FCA|USD|41839.83|41839.83|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-05 17:11:05|
1680|6002473|800||COVE257T99FR7|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-21 15:15:06|
1680|6002485|800||COVE257LSKE21|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-16 15:26:02|
1680|5005482|230|2025-12-12|COVE257VEZSI5|FOB|USD|128628.69|128628.69|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:03|
1680|6002475|800||COVE257TDIA47|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-21 15:15:07|
1680|6011273|240||COVE267XIUGW8|DAP| ||| | |380549190|FORD MOTOR COMPANY||||||2026-01-27 18:27:08|
1733|6002677|640||COVE267X1RR48|EXW| ||| | |38-3474922|KUKA ASSEMBLY AND TEST CORP.||||||2026-01-28 18:13:05|
1669|5000227|810|2025-12-01|COVE257UQT811|FCA|USD|78448.00|78448.00|BRA| |84683374000300|TUPY SA|RUA ALBANO SCHMIDT  3400||S/N|89227-901|JOINVILLE|2026-01-08 15:41:02|
1680|5005482|230|2025-12-26|COVE257W1PFM5|FOB|USD|128226.07|128226.07|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:03|
1680|5005482|230|2025-12-02|COVE257US5W81|FOB|USD|192670.45|192670.45|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:03|
1680|5005482|230|2025-12-03|COVE257UV6237|FOB|USD|193815.91|193815.91|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:03|
1680|5005482|230|2025-12-15|COVE257VHY1F5|FOB|USD|133676.48|133676.48|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:03|
1680|6000836|800||COVE257SMDTQ8|DAP| ||| | |260206522|AM/NS CALVERT LLC||||||2026-01-13 17:41:09|
1680|6002481|800||COVE257FW9SH1|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-16 09:43:02|
1680|6002469|800||COVE2578PRAQ4|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-20 15:49:02|
1680|6002479|800||COVE257OYXLA4|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-16 15:12:01|
1680|5005483|230|2025-12-18|COVE257VPG1H2|FOB|USD|246575.64|246575.64|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
1680|6011281|240||COVE267XPOV42|DAP| ||| | |380549190|FORD MOTOR COMPANY||||||2026-01-30 17:42:04|
1680|6002482|800||COVE257FWF7Y6|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-16 09:57:00|
1680|6002457|800||COVE246WVLP53|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-14 13:24:04|
1680|6002470|800||COVE257CINB16|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-20 15:49:02|
1680|6024632|240||COVE267XAWBB6|EXW| ||| | |37-1652702|PHILLIPS 66 COMPANY||||||2026-01-23 18:48:02|
1680|6002479|800||COVE257P2H1B5|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-16 15:12:01|
1680|5005482|230|2025-12-12|COVE257VEZS62|FOB|USD|130739.03|130739.03|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:03|
1680|5005482|230|2025-12-22|COVE257VVHKW6|FOB|USD|132042.38|132042.38|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:03|
1680|5005482|230|2025-12-06|COVE257V2L9L2|FOB|USD|130490.48|130490.48|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:03|
1680|5005483|230|2025-12-20|COVE257VUBUJ6|FOB|USD|253573.46|253573.46|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
1680|5005525|230|2025-12-20|COVE257VUWM77|FCA|USD|319796.29|319796.29|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-08 13:06:00|
3949|5060523|071|2025-12-19|COVE257VTCWP7|FOB|USD|1.00|1.00|MEX| |38-0549190|FORD OHIO TRUCK|799 ABBE RD||S/N|440541807|SHEFFIELD VILLAGE|2026-01-08 12:49:05|
3147|6001014|650||COVE257UD4J07|FCA| ||| | |04-3807855|WESTERN DIVERSIFIED PLASTICS LLC||||||2026-01-20 11:43:01|
1680|6024643|240||COVE267XI1AV4|EXW| ||| | |37-1652702|PHILLIPS 66 COMPANY||||||2026-01-28 12:38:02|
1680|6002480|800||COVE257P9XSI6|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-16 15:20:04|
3949|5060538|071|2025-12-20|COVE257VUFFT4|FCA|USD|302259.91|302259.91|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 14:21:01|
3949|6000016|670||COVE267X3JOZ6|EXW| ||| | |38-0549190|FORD MOTOR COMPANY||||||2026-01-22 11:38:01|
1680|6000844|800||COVE257VND038|DAP| ||| | |873972693|CLIFFS STEEL INC.||||||2026-01-21 15:46:01|
1680|5005482|230|2025-12-14|COVE257VGYST5|FOB|USD|132360.28|132360.28|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:03|
3147|6001014|650||COVE257TX9ZH3|FCA| ||| | |38-0493110|MAGNA MIRRORS OF AMERICA INC||||||2026-01-20 11:43:01|
3147|6001014|650||COVE257UCKAT2|EXW| ||| | |270791190|APTIV SERVICES US LLC||||||2026-01-20 11:43:01|
3147|6001012|650||COVE257T97HU1|FCA| ||| | |380549190|FORD MOTOR COMPANY||||||2026-01-16 12:14:01|
3949|5060523|071|2025-12-17|COVE257VMTPF3|FOB|USD|1.00|1.00|MEX| |380549190|FORD KENTUCKY TRUCK PLANT 2|3001 CHAMBERLAIN LANE||S/N|402411985|LOUISVILLE|2026-01-08 12:49:05|
1680|5005482|230|2025-12-12|COVE257VEZRI7|FOB|USD|148047.19|148047.19|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:03|
3949|5060523|071|2025-12-13|COVE257VGMEW8|FOB|USD|1.00|1.00|MEX| |380549190|FORD KENTUCKY TRUCK PLANT 2|3001 CHAMBERLAIN LANE||S/N|402411985|LOUISVILLE|2026-01-08 12:49:05|
1680|5005483|230|2025-12-06|COVE257V2D048|FOB|USD|214174.75|214174.75|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
1680|5005482|230|2025-12-11|COVE257VC0VK8|FOB|USD|146730.28|146730.28|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:03|
1680|5070742|240|2025-12-02|COVE257UU7E15|FOB|USD|394589.16|394589.16|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-08 17:17:04|
1680|6000849|800||COVE257VZ2YP3|DAP| ||| | |13-5459780|UNITED STATES STEEL INTERNATIONAL, INC||||||2026-01-16 17:01:00|
3147|6001014|650||COVE257TGX7T4|FCA| ||| | |362 090085|METHODE ELECTRONICS, INC||||||2026-01-20 11:43:01|
1680|6024626|240||COVE267X52QP8|EXW| ||| | |37-1652702|PHILLIPS 66 COMPANY||||||2026-01-21 14:03:02|
1680|5005482|230|2025-12-01|COVE257UP1Y16|FOB|USD|140761.26|140761.26|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:03|
1680|5005476|230|2025-12-12|COVE257VGET11|FCA|USD|244695.64|244695.64|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-05 19:05:01|
3949|5060522|071|2025-12-12|COVE257VFQIV2|FOB|USD|200995.48|200995.48|MEX| |38-0549190|FORD OHIO TRUCK|799 ABBE RD||S/N|440541807|SHEFFIELD VILLAGE|2026-01-02 19:00:00|
1680|5005476|230|2025-12-16|COVE257VLZIV3|FCA|USD|90878.19|90878.19|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-05 19:05:01|
3147|6001014|650||COVE257U4IDP5|EXW| ||| | |36-3864536|NIDEC MOBILITY AMERICA CORPORATION||||||2026-01-20 11:43:01|
1680|6002477|800||COVE257NTQKA4|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-16 15:01:02|
3147|6001325|470||COVE267X57ML7|FCA| ||| | |36-2606352|YAZAKI NORTH AMERICA INC.||||||2026-01-21 17:57:01|
1680|6024602|240||COVE267WPHY26|EXW| ||| | |37-1652702|PHILLIPS 66 COMPANY||||||2026-01-14 12:45:03|
1680|5005482|230|2025-12-09|COVE257V6LCH6|FOB|USD|188090.28|188090.28|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:03|
1680|5005483|230|2025-12-19|COVE257VRZCE6|FOB|USD|207050.42|207050.42|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
1680|5005482|230|2025-12-26|COVE257W1RUZ7|FOB|USD|199121.91|199121.91|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:03|
1680|5005485|230|2025-12-15|COVE257VILKU5|FOB|USD|1.00|1.00|MEX| |103558136RT0001|AUTONEUM CANADA  LTD|1295 CLARKE RD.||S/N|N5V 3B4|LONDON|2026-01-06 13:18:03|
3949|5060523|071|2025-12-09|COVE257V86FA6|FOB|USD|1.00|1.00|MEX| |380549190|FORD KENTUCKY TRUCK PLANT 2|3001 CHAMBERLAIN LANE||S/N|402411985|LOUISVILLE|2026-01-08 12:49:05|
1680|6002468|800||COVE2477B49M5|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-21 15:15:04|
1680|6002482|800||COVE257FZZ1N3|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-16 09:57:00|
3147|6001014|650||COVE257TN0NH3|FCA| ||| | |31-1208705|MITSUBISHI ELECTRIC||||||2026-01-20 11:43:01|
1680|6000850|800||COVE246DLCF08|DDP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-14 13:22:01|
1680|5005483|230|2025-12-24|COVE257W0CXI5|FOB|USD|215045.18|215045.18|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
1680|5005478|230|2025-12-05|COVE257V0JRZ2|FCA|CAD|13136.20|18313.40|CAN| |103558136RT0001|AUTONEUM NORTH AMERICA  LTD|500 HIGHWAY 3||S/N|N4G 4H8|TILLSONBURG|2026-01-07 12:19:01|
3949|5060523|071|2025-12-11|COVE257VDLRQ4|FOB|USD|1.00|1.00|MEX| |380549190|FORD KENTUCKY TRUCK PLANT 2|3001 CHAMBERLAIN LANE||S/N|402411985|LOUISVILLE|2026-01-08 12:49:05|
1680|6024640|240||COVE267XGQMY7|EXW| ||| | |37-1652702|PHILLIPS 66 COMPANY||||||2026-01-28 12:35:14|
3147|6001012|650||COVE257T9EAG7|FCA| ||| | |38 0549190|ADVANCED EV DEVELOPMENT||||||2026-01-16 12:14:01|
1680|6000841|800||COVE257UDL1F6|EXW| ||| | |38-3349570|GLOBAL PARTS AND MAINTENANCE LLC||||||2026-01-16 16:47:01|
1680|5005481|230|2025-12-03|COVE257UW9UC2|FOB|USD|1.00|1.00|MEX| |20-8094708|ROBERT BOSCH LLC|1613 PROGRESS DRIVE||S/N|467011495|ALBION|2026-01-06 13:16:01|
1680|5005485|230|2025-12-01|COVE257UQEFW2|FOB|USD|1.00|1.00|MEX| |103558136RT0001|AUTONEUM CANADA  LTD|1295 CLARKE RD.||S/N|N5V 3B4|LONDON|2026-01-06 13:18:03|
1680|5005482|230|2025-12-24|COVE257W0GSD2|FOB|USD|129990.43|129990.43|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:03|
1680|5005483|230|2025-12-08|COVE257V3DET1|FOB|USD|214036.10|214036.10|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
1680|5005485|230|2025-12-22|COVE257VW62I5|FOB|USD|1.00|1.00|MEX| |27-0896333|LINAMAR CORPORATE|2401 STANTONSBURG ROAD||S/N|278938414|WILSON|2026-01-06 13:18:03|
1680|5005525|230|2025-12-20|COVE257VU7D68|FCA|USD|237146.66|237146.66|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-08 13:06:00|
3949|5060542|071|2025-12-01|COVE257UQ4UL7|FCA|USD|179033.04|179033.04|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-10 12:39:01|
1680|6002472|800||COVE257PSR7L8|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-21 15:15:07|
1680|6024638|240||COVE267XG3591|EXW| ||| | |37-1652702|PHILLIPS 66 COMPANY||||||2026-01-28 12:34:07|
1680|5005484|230|2025-12-21|COVE257VV0NM1|FOB|USD|208638.25|208638.25|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:00|
1669|5000227|810|2025-12-06|COVE257V2TO66|FCA|USD|78448.00|78448.00|BRA| |84683374000300|TUPY SA|RUA ALBANO SCHMIDT  3400||S/N|89227-901|JOINVILLE|2026-01-08 15:41:02|
1680|5005484|230|2025-12-18|COVE257VPFXD3|FOB|USD|214219.79|214219.79|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:00|
3949|5060523|071|2025-12-15|COVE257VIZY27|FOB|USD|1.00|1.00|MEX| |380549190|FORD KENTUCKY TRUCK PLANT 2|3001 CHAMBERLAIN LANE||S/N|402411985|LOUISVILLE|2026-01-08 12:49:05|
3949|5060538|071|2025-12-13|COVE257VGU6I2|FCA|USD|310678.14|310678.14|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 14:21:01|
1680|6002472|800||COVE257QSYDY2|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-21 15:15:07|
1680|5005483|230|2025-12-21|COVE257VV0S64|FOB|USD|253993.51|253993.51|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
1680|5005483|230|2025-12-23|COVE257VXG527|FOB|USD|208034.02|208034.02|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
3949|5004822|160|2025-12-09|COVE257V6HNB3|DAP|CNY|79311.05|561096.90|CHN| |91320583071078833|PGI AUTO COMPONENTS KUNSHAN CO LTD|99 TANGJING ROAD DIANSHAN LAKE TOWN, JIANGSU PROVIDENCE||S/N|215345|KUNSHAN|2026-01-08 18:28:07|
1680|5005482|230|2025-12-04|COVE257UXDYE1|FOB|USD|128065.60|128065.60|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:03|
1680|5005483|230|2025-12-20|COVE257VUBTA7|FOB|USD|214472.93|214472.93|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
1680|5005478|230|2025-12-16|COVE257VKKD26|FCA|USD|74210.72|74210.72|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-07 12:19:01|
3949|5060540|071|2025-12-20|COVE257VUQYH6|FCA|USD|206676.07|206676.07|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-09 16:59:03|
1680|5005483|230|2025-12-02|COVE257URR1D2|FOB|USD|248837.33|248837.33|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
1680|6002481|800||COVE257EPPJU5|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-16 09:43:02|
3949|5060523|071|2025-12-14|COVE257VGXUI5|FOB|USD|1.00|1.00|MEX| |380549190|FORD KENTUCKY TRUCK PLANT 2|3001 CHAMBERLAIN LANE||S/N|402411985|LOUISVILLE|2026-01-08 12:49:05|
1680|5005484|230|2025-12-11|COVE257VBICH8|FOB|USD|211132.86|211132.86|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:00|
3949|5060535|070|2025-12-14|COVE257VH6ED3|FCA|USD|267371.86|267371.86|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-05 17:11:05|
3949|5060523|071|2025-12-10|COVE257VAAHL2|FOB|USD|1.00|1.00|MEX| |380549190|FORD KENTUCKY TRUCK PLANT 2|3001 CHAMBERLAIN LANE||S/N|402411985|LOUISVILLE|2026-01-08 12:49:05|
1680|5005484|230|2025-12-09|COVE257V64074|FOB|USD|215401.53|215401.53|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:00|
3147|5000149|470|2025-12-18|COVE257VPJAW4|FCA|USD|5520.00|5520.00|USA| |38-3150672|ANCOR INFORMATION MANAGEMENT|2360 BELLINGHAM DRIVE||S/N|480832038|TROY|2026-01-08 20:21:01|
1680|6002482|800||COVE257FWL265|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-16 09:57:00|
1680|5005483|230|2025-12-18|COVE257VPG1D5|FOB|USD|209462.67|209462.67|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
1680|5005483|230|2025-12-19|COVE257VRZDE5|FOB|USD|213390.26|213390.26|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
1680|5005485|230|2025-12-11|COVE257VCJES3|FOB|USD|1.00|1.00|MEX| |261531856|DANA AUTOMOTIVE SYSTEMS GROUP|2400 LEMONE INDUSTRIAL BLVD||S/N|652018263|COLUMBIA|2026-01-06 13:18:03|
