Patente|Pedimento|SeccionAduanera|FechaFacturacion|NumeroFactura|TerminoFacturacion|MonedaFacturacion|ValorDolares|ValorMonedaExtranjera|PaisFacturacion|EntidadFedFacturacion|IndentFiscalProveedor|ProveedorMercancia|CalleProveedor|NumInteriorProveedor|NumExteriorProveedor|CpProveedor|MunicipioProveedor|FechaPagoReal
1680|6002486|800||COVE257UWNW12|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-16 15:38:02|
1680|6000847|800||COVE257VUXJG2|DAP| ||| | |13-5459780|UNITED STATES STEEL INTERNATIONAL, INC||||||2026-01-16 16:58:02|
1680|5005483|230|2025-12-09|COVE257V64JV8|FOB|USD|249782.11|249782.11|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
3949|5060546|071|2025-12-04|COVE257UWMO14|FCA|USD|1.00|1.00|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-08 18:03:01|
1680|5005485|230|2025-12-20|COVE257VUY5K3|FOB|USD|1.00|1.00|MEX| |38-3388409|AUMOVIO SYSTEMS  INC.|1103 JAMESTOWN RD||S/N|286559285|MORGANTON|2026-01-06 13:18:03|
1680|5005482|230|2025-12-11|COVE257VC0VY4|FOB|USD|145941.49|145941.49|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:03|
1680|5005483|230|2025-12-02|COVE257URR0X7|FOB|USD|209714.37|209714.37|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
1680|5005484|230|2025-12-13|COVE257VGU4R3|FOB|USD|257628.87|257628.87|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:00|
1680|6011262|240||COVE267XAY7P8|DAP| ||| | |380549190|FORD MOTOR COMPANY||||||2026-01-22 18:35:11|
3147|6001014|650||COVE257T96D06|FCA| ||| | |82-2921700|BCS AIS US LLC||||||2026-01-20 11:43:01|
