Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|SubdivisionFraccion|DescripcionMercancia|PrecioUnitario|ValorAduana|ValorComercial|ValorDolares|CantidadUMComercial|UnidadMedidaComercial|CantidadUMTarifa|UnidadMedidaTarifa|ValorAgregado|ClaveVinculacion|MetodoValorizacion|CodigoMercanciaProducto|MarcaMercanciaProducto|ModeloMercanciaProducto|PaisOrigenDestino|PaisCompradorVendedor|EntidadFedOrigen|EntidadFedDestino|EntidadFedComprador|EntidadFedVendedor|TipoOperacion|ClaveDocumento|FechaPagoReal
1669|5022897|430|40103101|15|00|CORREA|91.41791|15183|12250|683.40|134.000|6|135.38637|1||1|1||||ROM|IND| | | | |1|F2|2026-01-08 11:20:00|
1669|5022896|430|39199099|2|00|CALCOMANIA - POSTE B|37.52174|1070|863|47.15|23.000|6|23.00000|1||1|1||||ZAF|ZAF| | | | |1|F2|2026-01-08 18:10:01|
1669|5022897|430|87082999|188|99|REFUERZO DE PANEL TRASERO|85.00000|211|170|9.50|2.000|6|2.00000|6||1|1||||IND|IND| | | | |1|F2|2026-01-08 11:20:00|
3949|5005113|160|87089999|64|99|MANGUERAS PARA USO AUTOMOTRIZ|67.72188|0|43342|2422.60|640.000|6|640.00000|6||0|0||||VNM|VNM| | | | |2|A1|2026-01-07 13:36:06|
1669|5023619|430|87082919|456|00|ENSAMBLE DE PUERTAS|3216.20000|19931|16081|897.15|5.000|6|5.00000|6||1|1||||TUR|GBR| | | | |1|F2|2026-01-08 15:21:01|
1669|5003141|510|87082201|225|00|CRISTALES ENMARCADOS|385.00000|477|385|21.48|1.000|6|1.00000|6||1|1||||CHN|CHN| | | | |1|F2|2026-01-07 13:43:01|
1669|5003141|510|87089999|365|99|SOPORTE DE RADAR DE MICROONDAS DE ALCANCE MEDIO|25.61538|413|333|18.58|13.000|6|13.00000|6||1|1||||CHN|CHN| | | | |1|F2|2026-01-07 13:43:01|
1669|5023619|430|87088005|661|00|CONJUNTO AMORTIGUADOR|722.23077|11637|9389|523.79|13.000|6|13.00000|6||1|1||||TUR|GBR| | | | |1|F2|2026-01-08 15:21:01|
3147|5000149|470|391910|1|00|UN LOTE DE MATERIAL DE ENSAMBLE|22.52000|58218|54713|3036.25|2429.000|6|46.94200|1||0|6||||USA|USA| | | | |1|F2|2026-01-08 20:21:01|
3949|5104849|071|85389005|42|00|MODULO DE ENTRADA|909.33333|2758|2728|150.00|3.000|6|3.00000|6||0|1||||DEU|USA| | | | |1|F2|2026-01-08 09:19:03|
3949|6020001|670|85129007|1310|03|CONJ. RASQUETA  LIMPIAPARABRISAS,|115.95041|30329|28060|1561.80|242.000|6|38.60703|1||1|1||||MEX|USA| | | | |1|F3|2026-01-13 15:53:00|
3949|6020001|670|40169304|228|01|JUNTA  COLECTOR DE ADMISION,|17.25000|224|207|11.52|12.000|6|0.10886|1||1|1||||CZE|USA| | | | |1|F3|2026-01-13 15:53:00|
3147|5005609|850|87082201|64|00|CRISTAL PARABRISAS|2749.00000|2749|2749|150.96|1.000|6|1.00000|6||1|1||||MEX|USA| | | | |1|F2|2026-01-20 14:43:15|
1680|6001003|230|72104999|1|01|ROLLOS DE LAMINA DE ACERO SIN ALEAR, GALVANIZADO, DE ANCHURA SUPERIOR A 600 MM CON ESPESOR INFERIOR A 3 MM Y LIMITE DE RESISTENCIA A LA DEFORMACION SUPERIOR A 275 MPA, ROLLOS DE LAMINA DE ACERO SIN ALEAR, GALVANIZADOS ROLADOS EN FRIO DE ANCHURA SUPER|25.49020|5811346|5811346|328515.83|227983.507|1|227983.50700|1||0|1||||USA|USA| | | | |1|F3|2026-01-19 11:13:01|
1669|6900631|430|87082907|452|00|REJILLA DEL RADIADOR|297.50000|737|595|33.22|2.000|6|2.00000|6||1|1||||GBR|GBR| | | | |1|F2|2026-01-13 11:45:01|
3949|6020001|670|87083099|1820|04|TUBO, TUBO DE VACIO,|200.71429|1519|1405|78.21|7.000|6|7.00000|6||1|1||||TUR|GBR| | | | |1|F3|2026-01-13 15:53:00|
3949|5005339|160|87089999|63|06|SOPORTE DE TRANSMISION|868.88000|0|21722|1209.00|25.000|6|25.00000|6||0|0||||PAN|PAN| | | | |2|H1|2026-01-08 17:11:01|
1669|5023619|430|84159002|225|99|CONJUNTO DE TUBOS DE ENTRADA Y SALIDA DEL EVAPORADOR DEL AIRE ACONDICIONADO|1826.00000|2263|1826|101.89|1.000|6|9.97467|1||1|1||||MEX|GBR| | | | |1|F2|2026-01-08 15:21:01|
1669|5003141|510|87083099|312|01|PARTE PARA FRENO|433.52632|10209|8237|460.08|19.000|6|19.00000|6||1|1||||CHN|CHN| | | | |1|F2|2026-01-07 13:43:01|
1680|5005498|230|848330|3|00|UN LOTE DE MATERIAL DE ENSAMBLE|13.06000|337751|317420|17379.36|24300.000|6|364.50000|1||1|6||||USA|USA| | | | |1|F2|2026-01-07 12:19:02|
1669|5023619|430|87089199|692|00|REFRIGERADOR INTERMEDIO|621.80000|3853|3109|173.44|5.000|6|5.00000|6||1|1||||CZE|GBR| | | | |1|F2|2026-01-08 15:21:01|
1669|5022895|430|87082901|50|00|GOMA GUARDAFANGO|324.20000|4018|3242|176.70|10.000|6|10.00000|6||1|1||||ARG|ARG| | | | |1|F2|2026-01-07 10:06:00|
3949|5104821|071|87082909|4|00|PORTALON DE BRONCO SPORT|1046.05195|0|402730|22411.61|385.000|6|385.00000|6||0|0||||USA|USA| | | | |2|A1|2026-01-08 13:26:00|
1669|5023619|430|87089305|701|02|EMBRAGUE COMPLETO|1796.50000|26719|21558|1202.70|12.000|6|12.00000|6||1|1||||TUR|GBR| | | | |1|F2|2026-01-08 15:21:01|
1669|5022897|430|85122099|88|00|CONJUNTO DE FARO|538.66667|2003|1616|90.18|3.000|6|3.03104|1||1|1||||IND|IND| | | | |1|F2|2026-01-08 11:20:00|
3147|5024156|650|87082999|47|99|CUBIERTA INTERIOR DE CARROCERIA|100.50000|0|1005|56.20|10.000|6|10.00000|6||0|0||||USA|USA| | | | |2|A1|2026-01-07 10:21:00|
3949|5104842|071|82075007|20|99|HERRAMIENTA DE PERFORACION|61479.50000|124323|122959|6838.98|2.000|6|2.00000|6||0|1||MAPAL||DEU|USA| | | | |1|F2|2026-01-13 15:07:01|
3949|6020001|670|84835003|1089|99|JUEGO DE PIEZAS  RODILLO TENSOR,|59.50000|900|833|46.37|14.000|6|2.68800|1||1|1||||CAN|GBR| | | | |1|F3|2026-01-13 15:53:00|
3147|5038781|470|70091099|9|01|ESPEJO RETROVISOR EXTERIOR        |1027.00000|1273|1027|57.37|1.000|6|1.00000|1||1|1||||CZE|ZAF| | | | |1|F2|2026-01-29 22:00:01|
3147|5038653|470|90271001|153|00|ANALIZADORES DE GASES Y HUMOS|1404.00000|1740|1404|77.91|1.000|6|1.00000|6||1|1||||TUR|GBR| | | | |1|F2|2026-01-29 22:06:01|
1669|6900631|430|85122099|325|00|LAMPARA|66.96875|2656|2143|119.58|32.000|6|23.41924|1||1|1||||TUR|GBR| | | | |1|F2|2026-01-13 11:45:01|
1669|5003140|510|85258999|167|99|CAMARA DE RETROCESO|836.00000|2072|1672|93.12|2.000|6|2.00000|6||1|1||||CHN|THA| | | | |1|F2|2026-01-13 17:37:00|
3949|5060543|071|870850|16|00|UN LOTE DE MATERIAL DE ENSAMBLE|3144.89000|15138734|14227465|781363.91|4524.000|6|45023.39400|1||1|6||||USA|USA| | | | |1|F2|2026-01-08 19:55:02|
1669|5022897|430|85122002|80|00|CALAVERAS O LUCES DIRECCIONALES|398.12500|15790|12740|710.72|32.000|6|26.66801|1||1|1||||IND|IND| | | | |1|F2|2026-01-08 11:20:00|
3949|5005339|160|40161001|29|00|BURL./RELL.-BURL./GOMA VENT. LAT.|161.00000|0|161|8.95|1.000|6|1.39130|1||0|0||||PAN|PAN| | | | |2|H1|2026-01-08 17:11:01|
1680|6005538|230|73181606|26|03|DE DIAMETRO INTERIOR INFERIOR O IGUAL A 15.9 MM (5/8 PULGADA), EXCEPTO LO COMPRENDIDO EN LOS NUMEROS DE IDENTIFICACION COMERCIAL 7318.16.06.01 Y 7318.16.06.02.|0.82000|370|351|19.56|426.000|6|2.16300|1|0|1|6||||CAN|USA| | | | |1|F3|2026-01-08 20:51:01|
1669|5022895|430|87088005|58|00|AMORTIGUADOR|1111.23529|23414|18891|1029.69|17.000|6|17.00000|6||1|1||||ARG|ARG| | | | |1|F2|2026-01-07 10:06:00|
1669|5003141|510|84133003|114|00|CONJUNTO DE BOMBA - COMBUSTIBLE|1148.28000|35580|28707|1603.37|25.000|6|25.00000|6||1|1||||CHN|CHN| | | | |1|F2|2026-01-07 13:43:01|
1680|6005532|230|73181606|65|03|DE DIAMETRO INTERIOR INFERIOR O IGUAL A 15.9 MM (5/8 PULGADA), EXCEPTO LO COMPRENDIDO EN LOS NUMEROS DE IDENTIFICACION COMERCIAL 7318.16.06.01 Y 7318.16.06.02.|1.93000|24840|23593|1313.15|12249.000|6|172.93200|1|0|1|6||||USA|USA| | | | |1|F3|2026-01-07 17:51:01|
3949|5005339|160|87089412|37|02|VOLANTE DE DIRECCION|2411.00000|0|2411|134.20|1.000|6|1.00000|6||0|0||||PAN|PAN| | | | |2|H1|2026-01-08 17:11:01|
3147|5038407|470|87083011|8|00|MANGUERAS DE FRENO|306.20000|1548|1531|85.00|5.000|6|5.00000|6||1|1||||DEU|DEU| | | | |1|F2|2026-01-08 15:18:01|
3949|5104849|071|85414101|46|00|MODULO LED|224.33333|680|673|37.00|3.000|6|0.18100|1||0|1||||DEU|USA| | | | |1|F2|2026-01-08 09:19:03|
3949|6020001|670|85011010|2570|99|MOTOR,|188.00000|203|188|10.48|1.000|6|1.00000|6||1|1||||MEX|USA| | | | |1|F3|2026-01-13 15:53:00|
3949|6020001|670|39263002|77|99|MANECILLA EXTERIOR DE PUERTA,|105.00000|1021|945|52.60|9.000|6|1.91500|1||1|1||||ITA|GBR| | | | |1|F3|2026-01-13 15:53:00|
3147|5038653|470|87089999|177|99|CONJUNTO ADAPTADOR DEL TUBO RESPIRADERO DE LA TRANSMISION|56.50000|140|113|6.28|2.000|6|2.00000|6||1|1||||DEU|GBR| | | | |1|F2|2026-01-29 22:06:01|
3147|5038781|470|87082901|77|00|GUARDAFANGOS|108.00000|134|108|6.05|1.000|6|1.00000|6||1|1||||IND|IND| | | | |1|F2|2026-01-29 22:00:01|
1669|6900631|430|85129007|333|05|LUZ INDICADORA DE DIRECCION|15.60000|97|78|4.37|5.000|6|0.48650|1||1|1||||DEU|GBR| | | | |1|F2|2026-01-13 11:45:01|
3949|6020001|670|85114004|1240|03|MOTOR DE ARRANQUE,|766.00000|1656|1532|85.28|2.000|6|2.00000|6||1|1||||JPN|USA| | | | |1|F3|2026-01-13 15:53:00|
1680|5005525|230|848210|52|00|UN LOTE DE MATERIAL DE ENSAMBLE|168.32000|2923005|2747056|153430.84|16320.000|6|13839.36000|1||1|6||||KOR|USA| | | | |1|F2|2026-01-08 13:06:00|
3949|6010001|670|85122002|8|00|LUZ ANTINIEB. TRAS.PIEZASSUJECION,|196.00000|212|196|10.89|1.000|6|0.00010|1||1|1||||CHN|CHN| | | | |1|F3|2026-01-08 23:31:01|
1669|5023619|430|87085099|628|99|KIT RUEDA BRG|439.16667|3266|2635|147.02|6.000|6|6.00000|6||1|1||||JPN|GBR| | | | |1|F2|2026-01-08 15:21:01|
1669|5022895|430|87089999|20|08|TUBERIA PARA LLENADO DEL DEPOSITO DE COMBUSTIBLE|214.00000|530|428|23.32|2.000|6|2.00000|6||1|1||||ARG|ARG| | | | |1|F2|2026-01-07 10:06:00|
3949|5104849|071|84828091|13|00|GUIA LINEAL|9093.00000|9194|9093|500.00|1.000|6|4.98900|1||0|1||||DEU|USA| | | | |1|F2|2026-01-08 09:19:03|
3949|5104869|071|39259099|1|00|BARRERA RETRACTIL|4316.00000|8728|8632|474.64|2.000|6|1.81400|1||0|1||ULINE||CHN|USA| | | | |1|F2|2026-01-08 19:15:01|
1680|6005532|230|85371099|160|99|LOS DEMAS, CUADROS PANELES CONSOLAS ARMARIOS Y DEMAS SOPORTES EQUIPADOS CON VARIOS APARATOS DE LAS PARTIDAS 8535 U 8536 PARA CONTROL O DISTRIBUCION DE ELECTRICIDAD INCLUIDOS LOS QUE INCOREN PARA UNA TENSION INFERIOR O IGUAL A 1000 V|446.56000|96387|91544|5095.20|205.000|6|70.72500|1|0|0|6||||MEX|USA| | | | |1|F3|2026-01-07 17:51:01|
3147|5024442|650|73269099|48|03|CASQUILLO|66.00000|0|132|7.40|2.000|6|1.20000|1||0|0||||PAN|PAN| | | | |2|H1|2026-01-08 17:42:00|
1669|5023619|430|85443099|387|01|RAMAL/CABLES - AV./DESG. FORROS/FR.|1071.18750|21242|17139|956.18|16.000|6|18.27617|1||1|1||||DEU|GBR| | | | |1|F2|2026-01-08 15:21:01|
3949|5005114|160|40169901|1|00|AISLADOR|5.74700|0|17241|959.59|3000.000|6|127.12282|1||0|0||||VNM|VNM| | | | |2|H1|2026-01-08 09:55:01|
3949|6020001|670|84849099|1156|99|JUEGO DE JUNTAS TORICAS, KIT  INYECTOR DE COMBUSTIBLE,|122.25000|529|489|27.21|4.000|6|0.22536|1||1|1||||ITA|USA| | | | |1|F3|2026-01-13 15:53:00|
3949|6020001|670|84099105|620|00|TENSOR,|302.66667|981|908|50.52|3.000|6|8.04000|1||1|1||||CAN|USA| | | | |1|F3|2026-01-13 15:53:00|
3147|5038653|470|87082907|56|00|PARILLA DEL RADIADOR|349.00000|433|349|19.39|1.000|6|1.00000|6||1|1||||THA|THA| | | | |1|F2|2026-01-29 22:06:01|
3147|5038781|470|87085099|12|99|PARTE PARA EJE|7195.00000|8918|7195|401.86|1.000|6|1.00000|6||1|1||||ZAF|ZAF| | | | |1|F2|2026-01-29 22:00:01|
1669|5003140|510|73182999|86|99|CLAVILLA|15.10000|187|151|8.40|10.000|6|7.18327|1||1|1||||TWN|THA| | | | |1|F2|2026-01-13 17:37:00|
3949|6020001|670|70072199|340|02|CRISTAL,|1601.00000|1730|1601|89.09|1.000|6|0.00010|1||1|1||||CHN|USA| | | | |1|F3|2026-01-13 15:53:00|
1680|5070746|240|903180|6|00|UN LOTE DE MATERIAL DE ENSAMBLE|52.32000|801656|753400|41904.00|14400.000|6|777.60000|1||1|6||||MEX|USA| | | | |1|F2|2026-01-07 16:46:04|
3949|5104841|071|39232101|4|00|BOLSAS DE PLASTICO|31.28400|31631|31284|1740.00|1000.000|6|226.80000|1||0|1||||USA|USA| | | | |1|F2|2026-01-09 13:40:01|
3147|5024442|650|85361099|32|99|FUSIBLE DE CARTUCHO|654.80000|0|3274|182.85|5.000|6|0.08950|1||0|0||||BHS|BHS| | | | |2|H1|2026-01-08 17:42:00|
1669|5003141|510|87082907|237|00|PARRILLA DE ADORNO Y PROTECCION DEL RADIADOR|728.10000|18048|14562|813.36|20.000|6|20.00000|6||1|1||||CHN|CHN| | | | |1|F2|2026-01-07 13:43:01|
1669|5003141|510|85122099|162|00|LUZ DELANTERA|136.83333|1018|821|45.86|6.000|6|3.35682|1||1|1||||CHN|CHN| | | | |1|F2|2026-01-07 13:43:01|
1680|6005538|230|32141001|1|00|MASILLA CEMENTOS DE RESINA Y DEMAS MASTIQUES EXCEPTO LO COMPRENDIDO EN LA FRACCION ARANCELARIA 32141002 PLASTES ENDUIDOS UTILIZADOS EN PINTURA.|8.16000|1203|1143|63.62|140.000|6|1.45600|1|0|1|6||||USA|USA| | | | |1|F3|2026-01-08 20:51:01|
3147|5023950|650|70091099|7|01|ESPEJO LATERAL RETROVISOR|1795.00000|1815|1795|100.00|1.000|6|2.74600|1||0|1||||USA|USA| | | | |1|F2|2026-01-07 08:40:01|
1680|6005538|230|73181606|27|03|DE DIAMETRO INTERIOR INFERIOR O IGUAL A 15.9 MM (5/8 PULGADA), EXCEPTO LO COMPRENDIDO EN LOS NUMEROS DE IDENTIFICACION COMERCIAL 7318.16.06.01 Y 7318.16.06.02.|0.37000|79|75|4.16|205.000|6|0.82000|1|0|1|6||||TWN|USA| | | | |1|F3|2026-01-08 20:51:01|
3949|5104836|071|76101001|12|00|PUERTA LATERAL DE SEGURIDAD DE ALUMINIO|180371.00000|180371|180371|10017.00|1.000|6|17.69700|1||0|1||BOON EDAM|THG-51-EA-FMC|USA|USA| | | | |1|F2|2026-01-09 15:44:01|
3949|5104821|071|87082999|11|02|PANEL LATERAL IZQUIERDO DE MAVERICK|398.41250|0|95619|5321.10|240.000|6|240.00000|6||0|0||||USA|USA| | | | |2|A1|2026-01-08 13:26:00|
1669|5003140|510|87082913|233|00|CABLE DE APERTURA DEL CAPOT|52.23077|842|679|37.83|13.000|6|13.00000|6||1|1||||THA|THA| | | | |1|F2|2026-01-13 17:37:00|
1669|6900631|430|87089199|682|00|DEPOSITO COMPENSADOR - RADIADO|117.52899|20102|16219|904.85|138.000|6|138.00000|6||1|1||||ITA|GBR| | | | |1|F2|2026-01-13 11:45:01|
3147|5038481|470|73181599|48|03|TORNILLO DE CABEZA HEXAGONAL|12.00000|297|240|13.20|20.000|6|3.57600|1||1|1||||CHN|CHN| | | | |1|F2|2026-01-29 19:09:00|
3147|5038653|470|85437099|26|99|MODULO DE CONTROL|4562.00000|5654|4562|253.16|1.000|6|1.00000|6||1|1||||CHN|ZAF| | | | |1|F2|2026-01-29 22:06:01|
1669|6900631|430|87081099|410|00|PARRILLA INFERIOR DE FASIA|278.10000|13787|11124|620.61|40.000|6|40.00000|6||1|1||||TUR|GBR| | | | |1|F2|2026-01-13 11:45:01|
3949|6020001|670|84249001|919|00|JUEGO DE TOBERAS,|15.75000|68|63|3.52|4.000|6|0.18144|1||1|1||||DEU|GBR| | | | |1|F3|2026-01-13 15:53:00|
1669|5003141|510|73261999|76|08|EMPAQUETADURA|50.00000|372|300|16.74|6.000|6|9.42505|1||1|1||||CHN|CHN| | | | |1|F2|2026-01-07 13:43:01|
1669|5023619|430|84842001|296|00|JUNTAS MECANICAS DE ESTANQUEIDAD|52.46839|22630|18259|1018.65|348.000|6|154.06284|1||1|1||||DEU|GBR| | | | |1|F2|2026-01-08 15:21:01|
3949|5104838|071|76081099|5|01|TUBO DE ALUMINIO|19.42730|247499|244784|13584.00|12600.000|6|420.08400|1||0|1||AMS|AP2812SA, N06W-55|KOR|USA| | | | |1|F2|2026-01-08 19:18:01|
1680|6005532|230|39269020|24|00|EMBLEMAS, PARA VEHICULOS AUTOMOVILES.|55.00000|57|55|3.04|1.000|6|0.03000|1|0|1|6||||TUR|USA| | | | |1|F3|2026-01-07 17:51:01|
3949|5104833|071|48211001|30|00|ETIQUETA DE PAPEL|2.37146|215798|213431|11736.00|90000.000|6|909.00000|1||0|1||ANCOR||USA|USA| | | | |1|F2|2026-01-08 18:36:00|
3949|5005339|160|83023091|62|00|SOPORTE - SUJECION DELANTERA MOTOR|868.85000|0|17377|967.20|20.000|6|37.22222|1||0|0||||PAN|PAN| | | | |2|H1|2026-01-08 17:11:01|
3949|5005113|160|85371099|40|99|MODULOS DE CONTROL DE COLUMNA DE DIRECCION|724.86000|0|217458|12154.92|300.000|6|150.06277|1||0|0||||CHN|CHN| | | | |2|A1|2026-01-07 13:36:06|
1669|5023619|430|87083099|576|01|SOPORTE DE TRANSMISION|1012.66667|3765|3038|169.51|3.000|6|3.00000|6||1|1||||ZYA|GBR| | | | |1|F2|2026-01-08 15:21:01|
1669|5023619|430|87084007|592|00|CORONA SINCRONIZADORA|794.94444|17735|14309|798.30|18.000|6|18.00000|6||1|1||||DEU|GBR| | | | |1|F2|2026-01-08 15:21:01|
3949|5104821|071|87082904|3|00|PANEL TRASERO DE PUERTA IZQUIERDA DE BRONCO SOPOR|224.60526|0|8535|474.96|38.000|6|38.00000|6||0|0||||USA|USA| | | | |2|A1|2026-01-08 13:26:00|
3949|6020001|670|84099999|732|00|TUBO DE ALIMENTACION DE ACEITE, TUBO DE RETORNO DE ACEITE,|168.11111|3271|3026|168.45|18.000|6|1382.66840|1||1|1||||TUR|GBR| | | | |1|F3|2026-01-13 15:53:00|
1669|6900631|430|84213199|234|00|CONJUNTO DEL FILTRO - AIRE|762.25000|3779|3049|170.12|4.000|6|6.39224|1||1|1||||IND|GBR| | | | |1|F2|2026-01-13 11:45:01|
3147|5038781|470|87082907|76|00|PARTE PARA CARROCERIA|77.00000|95|77|4.31|1.000|6|1.00000|6||1|1||||IND|IND| | | | |1|F2|2026-01-29 22:00:01|
3147|5038653|470|87082999|10|99|MOLDURA|566.00000|702|566|31.43|1.000|6|1.00000|6||1|1||||ZAF|ZAF| | | | |1|F2|2026-01-29 22:06:01|
3949|5104840|071|84123199|64|00|CILINDRO NEUMATICO|5938.00000|6004|5938|330.25|1.000|6|1.00000|6||0|1||PARKER||ZYA|USA| | | | |1|F2|2026-01-14 15:39:02|
3949|6020001|670|84248999|915|99|RECIPIENTE DE AGUA  LAVAPARABRISAS,|226.50000|979|906|50.42|4.000|6|4.00000|6||1|1||||USA|USA| | | | |1|F3|2026-01-13 15:53:00|
1680|5005525|230|830210|39|00|UN LOTE DE MATERIAL DE ENSAMBLE|36.17000|720468|677100|37817.92|18720.000|6|6387.84000|1||1|6||||USA|USA| | | | |1|F2|2026-01-08 13:06:00|
1669|5023619|430|87082999|485|99|ENSAMBLE DE PANEL TRASERO|662.80000|4107|3314|184.90|5.000|6|5.00000|6||1|1||||TUR|GBR| | | | |1|F2|2026-01-08 15:21:01|
3949|5005339|160|85122099|25|00|FARO ANTINIEBLA|7426.00000|0|14852|826.64|2.000|6|2.78261|1||0|0||||PAN|PAN| | | | |2|H1|2026-01-08 17:11:01|
1733|5036223|640|82076006|1|99|BARRAS PARA BROCHADO DE ENGRANES|438495.00000|0|438495|24081.90|1.000|6|1.00000|6||0|0||||USA|USA| | | | |2|H1|2026-01-07 10:53:01|
3949|5104838|071|85044099|38|00|FUENTE DE PODER|398.27273|4430|4381|243.10|11.000|6|11.00000|6||0|1||||CHN|USA| | | | |1|F2|2026-01-08 19:18:01|
1669|5023619|430|87089999|747|99|PARTE PARA USO EN VEHICULO|1657.36364|45191|36462|2034.17|22.000|6|22.00000|6||1|1||||TUR|GBR| | | | |1|F2|2026-01-08 15:21:01|
3949|5104860|071|73182999|15|99|ARO DISTANCIADOR|284.26667|8623|8528|474.00|30.000|6|0.45300|1||0|1||||HUN|USA| | | | |1|F2|2026-01-08 15:41:00|
1680|5092188|240|85444299|9|04|CABLE CON CONEXIONES|3032.80000|15332|15164|830.25|5.000|6|0.68000|1||0|1||||JPN|USA| | | | |1|F2|2026-01-08 11:24:02|
1669|5023619|430|87081099|402|00|CUBIERTA TRASERA DEL AUTO|688.37500|13651|11014|614.46|16.000|6|16.00000|6||1|1||||TUR|GBR| | | | |1|F2|2026-01-08 15:21:01|
3147|5023950|650|85443099|25|01|ARNES|3381.50000|6838|6763|376.74|2.000|6|7.20000|1||0|1||||MEX|USA| | | | |1|F2|2026-01-07 08:40:01|
3949|6020001|670|39263002|53|01|MOLDURA,|104.00000|112|104|5.78|1.000|6|0.04300|1||1|1||||CHN|USA| | | | |1|F3|2026-01-13 15:53:00|
1669|6900631|430|73181606|124|05|TUERCA HEXAGONAL|160.50000|398|321|17.93|2.000|6|0.19460|1||1|1||||TUR|GBR| | | | |1|F2|2026-01-13 11:45:01|
1680|5031282|800|85443099|1|01|ARMAZONES PARA AUTOMOTRIZ|557.51066|2040489|2040489|111218.29|3660.000|6|2833.71000|1||0|1||||MEX|USA| | | | |1|V1|2026-01-14 08:30:01|
1680|5031251|800|85437099|4|05|BOTON INTERRUPTOR DE BLOQUEO DE PUERTA|44.56412|770068|770068|41973.12|17280.000|6|17280.00000|6||0|1||||MEX|USA| | | | |1|V1|2026-01-12 17:03:03|
3949|5104840|071|84828091|128|00|GUIA LINEAL|80283.00000|81173|80283|4465.34|1.000|6|25.85500|1||0|1||||DEU|USA| | | | |1|F2|2026-01-14 15:39:02|
3949|6020001|670|84099999|725|00|CADENA DE DISTRIBUCION, GUIA,|35.81818|426|394|21.95|11.000|6|0.42800|1||1|1||||ITA|GBR| | | | |1|F3|2026-01-13 15:53:00|
1733|5036100|640|39269099|1|01|SELLOS DE PLASTICO|2840.50000|11488|11362|624.00|4.000|6|0.08000|1||0|1||||USA|USA| | | | |1|F2|2026-01-07 19:12:01|
1669|5022897|430|85437099|105|99|ENSAMBLE SENSOR|129.77778|1448|1168|65.16|9.000|6|9.00000|6||1|1||||IND|IND| | | | |1|F2|2026-01-08 11:20:00|
3949|5005339|160|84818022|9|00|VALVULA DE CONTROL|1265.00000|0|1265|70.41|1.000|6|1.39130|1||0|0||||PAN|PAN| | | | |2|H1|2026-01-08 17:11:01|
1680|6005532|230|85015305|114|00|SINCRONOS, CON POTENCIA DE SALIDA IGUAL O INFERIOR A 4,475 KW (6,000 CP), EXCEPTO LOS RECONOCIBLES PARA NAVES AEREAS Y PARA TROLEBUSES.|61667.19000|11492501|10915093|607517.96|177.000|6|177.00000|6|0|1|6||||USA|USA| | | | |1|F3|2026-01-07 17:51:01|
1669|5022895|430|87081099|18|00|SOPORTE|271.20000|3361|2712|147.80|10.000|6|10.00000|6||1|1||||ARG|ARG| | | | |1|F2|2026-01-07 10:06:00|
1669|5023619|430|83023091|169|00|RETEN - VALVULA DE INYECCION|15.66667|233|188|10.49|12.000|6|1.02680|1||1|1||||CAN|GBR| | | | |1|F2|2026-01-08 15:21:01|
3949|5104849|071|39235001|1|00|TAPON|18.25000|74|73|4.00|4.000|6|1.08800|1||0|1||||DEU|USA| | | | |1|F2|2026-01-08 09:19:03|
3949|5060544|071|852589|16|00|UN LOTE DE MATERIAL DE ENSAMBLE|987.24000|8067646|7582018|421710.52|7680.000|6|975.36000|1||1|6||||TUR|USA| | | | |1|F2|2026-01-08 19:55:03|
1669|5022897|430|87081099|129|00|SOPORTES DEL PARACHOQUES TRASERO|113.51852|3799|3065|170.97|27.000|6|27.00000|6||1|1||||IND|IND| | | | |1|F2|2026-01-08 11:20:00|
1669|5003141|510|84133003|113|00|BOMBA PARA GASOLINA|1264.62500|12539|10117|565.05|8.000|6|8.00000|6||1|1||||CHN|CHN| | | | |1|F2|2026-01-07 13:43:01|
3949|6020001|670|87089999|2221|99|CALEFACTOR SIN RADIADOR, EMPUJADOR, PEDAL, RACOR  FILTRO DE ACEITE, SOPORTE, SOPORTE  COMPRESOR, TUBULADURA DE SALIDA DE AGUA,|188.92308|2655|2456|136.70|13.000|6|13.00000|6||1|1||||CHN|USA| | | | |1|F3|2026-01-13 15:53:00|
1680|6002885|240|84669499|6|00|PARTES PARA MAQUINA DE PRENSADO|32203.88889|317195|289835|17353.00|9.000|6|51.42000|1||0|1||||USA|USA| | | | |1|F2|2026-01-14 17:45:08|
1680|5035200|800|87083099|24|01|PINZA DE FRENO|899.05882|0|15284|850.00|17.000|6|17.00000|6||0|0||||USA|USA| | | | |2|A1|2026-01-12 17:12:02|
1669|5023941|430|85122002|62|00|FAROL|3664.50000|0|7329|407.94|2.000|6|8.26667|1||0|0||||CUR|CUR| | | | |2|H1|2026-01-12 13:37:01|
3949|5104840|071|84834009|135|99|HUSILLO DE BOLAS|133447.00000|134927|133447|7422.29|1.000|6|36.28800|1||0|1||||USA|USA| | | | |1|F2|2026-01-14 15:39:02|
3949|6020001|670|83082001|2482|00|REFUERZO,|45.28090|4356|4030|224.28|89.000|6|3560.00000|1||1|1||||USA|USA| | | | |1|F3|2026-01-13 15:53:00|
3147|5024156|650|40169999|7|99|ELEMENTO PARA CONTROL DE VIBRACION|17.83333|0|107|6.00|6.000|6|18.70000|1||0|0||||BRA|BRA| | | | |2|A1|2026-01-07 10:21:00|
