Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|SubdivisionFraccion|DescripcionMercancia|PrecioUnitario|ValorAduana|ValorComercial|ValorDolares|CantidadUMComercial|UnidadMedidaComercial|CantidadUMTarifa|UnidadMedidaTarifa|ValorAgregado|ClaveVinculacion|MetodoValorizacion|CodigoMercanciaProducto|MarcaMercanciaProducto|ModeloMercanciaProducto|PaisOrigenDestino|PaisCompradorVendedor|EntidadFedOrigen|EntidadFedDestino|EntidadFedComprador|EntidadFedVendedor|TipoOperacion|ClaveDocumento|FechaPagoReal
3147|6001397|470|87088005|9|00|BRAZO Y BUJES DE SUSPENCION TRASERA|307.41667|4065|3689|211.37|12.000|6|12.00000|6||0|1||||ESP|ESP| | | | |1|F3|2026-01-23 18:30:02|
3147|6001012|650|90329002|275|99|SENSOR PARA UNIDAD DE CONTROL|267.00000|294|267|15.00|1.000|6|0.12500|1||1|6||||USA|USA| | | | |1|F3|2026-01-16 12:14:01|
3949|5104840|071|85365099|161|01|INTERRUPTOR DE SEGURIDAD|9186.00000|9288|9186|510.90|1.000|6|0.56700|1||0|1||EUCHNER||DEU|USA| | | | |1|F2|2026-01-14 15:39:02|
3949|5104836|071|85369028|10|00|CAJA DE CONEXIONES, CAJA DE PROTECCION|15278.50000|61114|61114|3394.00|4.000|6|70.78800|1||0|1||LIFE SAFETY POWER, SCE|LSP-16DR-E8M2WPA, SCE-16EL1206-LPLG|USA|USA| | | | |1|F2|2026-01-09 15:44:01|
3147|5005612|850|85444299|22|04|CABLE ELECTRICO CON CONEXIONES|181.00000|181|181|10.10|1.000|6|1.00000|1||1|1||||MEX|USA| | | | |1|F2|2026-01-26 19:52:11|
3376|6001547|240|73269099|13|99|UN LOTE RACKS PALLETS SEPARADORES EMBALAJE REUTILIZABLE O ENVASES VACIOS O CONTENIENDO MERCANCIA|18.00000|18|18|1.00|1.000|5|12299.00000|1||1|6||||USA|USA| | | | |1|F2|2026-01-16 10:05:08|
3147|6001012|650|83012002|443|99|CERRADURA|410.00000|452|410|23.00|1.000|6|0.65700|1||1|6||||USA|USA| | | | |1|F3|2026-01-16 12:14:01|
3147|5005610|850|87085099|63|02|FLECHAS SEMIEJES|9288.00000|9288|9288|515.45|1.000|6|1.00000|6||1|1||||THA|USA| | | | |1|F2|2026-01-26 19:51:12|
3949|5060540|071|841590|3|00|UN LOTE DE MATERIAL DE ENSAMBLE|289.53000|4075141|3829840|212692.06|13228.000|6|5890.26800|1||1|6||||MEX|USA| | | | |1|F2|2026-01-09 16:59:03|
3949|5104840|071|84159002|76|99|PLACA ADAPTADORA|5340.00000|10798|10680|594.00|2.000|6|42.63800|1||0|1||HOFFMAN||MEX|CAN| | | | |1|F2|2026-01-14 15:39:02|
3376|6001547|240|73269099|33|99|UN LOTE RACKS PALLETS SEPARADORES EMBALAJE REUTILIZABLE O ENVASES VACIOS O CONTENIENDO MERCANCIA|18.00000|18|18|1.00|1.000|5|9966.00000|1||1|6||||USA|USA| | | | |1|F2|2026-01-16 10:05:08|
1680|6002495|800|84139113|2|99|PISTONES PARA BOMBAS|32501.00000|35814|32501|1862.30|1.000|6|0.45400|1||0|1||||DEU|USA| | | | |1|F3|2026-01-23 15:46:03|
3147|5005611|850|40169999|9|07|MANUFACTURA DE CAUCHO VULCANIZADO|22.50000|45|45|2.50|2.000|6|2.00000|1||1|1||||MEX|USA| | | | |1|F2|2026-01-27 23:24:03|
3147|6001012|650|87084099|42|99|CUBIERTA PARA CARTER DE CAJA DE VELOCIDADES|267.00000|294|267|15.00|1.000|6|1.00000|6||1|6||||GBR|USA| | | | |1|F3|2026-01-16 12:14:01|
1680|6002477|800|76069299|2|00|HOJAS DE LAMINA DE ALUMINIO ALEADO|868.80876|21633338|21633338|1214216.91|24900.000|6|164402.10000|1||0|1||||USA|USA| | | | |1|F3|2026-01-16 15:01:02|
